"code_sect_activite","libelle_sect_activite","code_ss_sect_activite","libelle_ss_sect_activite","code_ogr_rome","code_rome","libelle_rome","principal"
"79","Agriculture et élevage","114","Agriculture, sylviculture","7","A1201","Bûcheron / Bûcheronne","non"
"79","Agriculture et élevage","114","Agriculture, sylviculture","11","A1205","Sylviculteur / Sylvicultrice","non"
"79","Agriculture et élevage","114","Agriculture, sylviculture","488734","A1208","Jardinier / Jardinière paysagiste","non"
"79","Agriculture et élevage","114","Agriculture, sylviculture","488755","A1209","Élagueur / Élagueuse","non"
"79","Agriculture et élevage","114","Agriculture, sylviculture","488859","A1210","Ouvrier forestier / Ouvrière forestière","non"
"79","Agriculture et élevage","114","Agriculture, sylviculture","489058","A1212","Chef / Cheffe d'équipe de travaux forestiers","non"
"79","Agriculture et élevage","114","Agriculture, sylviculture","489160","A1213","Conducteur / Conductrice de travaux forestiers","non"
"79","Agriculture et élevage","114","Agriculture, sylviculture","12","A1301","Technicien / Technicienne de culture maraîchère","non"
"79","Agriculture et élevage","114","Agriculture, sylviculture","13","A1302","Technicien / Technicienne agricole","non"
"79","Agriculture et élevage","114","Agriculture, sylviculture","14","A1303","Ingénieur / Ingénieure agronome","non"
"79","Agriculture et élevage","114","Agriculture, sylviculture","403951","A1304","Conseiller / Conseillère technique agricole","non"
"79","Agriculture et élevage","114","Agriculture, sylviculture","15","A1401","Vendangeur / Vendangeuse","non"
"79","Agriculture et élevage","114","Agriculture, sylviculture","16","A1402","Aide horticole","non"
"79","Agriculture et élevage","114","Agriculture, sylviculture","19","A1405","Arboriculteur / Arboricultrice","non"
"79","Agriculture et élevage","114","Agriculture, sylviculture","28","A1414","Horticulteur / Horticultrice","non"
"79","Agriculture et élevage","114","Agriculture, sylviculture","31","A1417","Saliculteur / Salicultrice","non"
"79","Agriculture et élevage","114","Agriculture, sylviculture","403953","A1418","Viticulteur / Viticultrice","non"
"79","Agriculture et élevage","114","Agriculture, sylviculture","403955","A1419","Ouvrier agricole polyvalent / Ouvrière agricole polyvalente","non"
"79","Agriculture et élevage","114","Agriculture, sylviculture","403956","A1420","Chef / Cheffe de culture responsable d'unité de production agricole","non"
"79","Agriculture et élevage","114","Agriculture, sylviculture","488334","A1422","Caviste de chai","non"
"79","Agriculture et élevage","114","Agriculture, sylviculture","488346","A1423","Œnologue","non"
"79","Agriculture et élevage","114","Agriculture, sylviculture","327","I1603","Mécanicien-réparateur / Mécanicienne-réparatrice en matériels agricoles","non"
"79","Agriculture et élevage","115","Élevage, pêche","17","A1403","Aide d'élevage agricole","non"
"79","Agriculture et élevage","115","Élevage, pêche","18","A1404","Aquaculteur / Aquacultrice","non"
"79","Agriculture et élevage","115","Élevage, pêche","20","A1406","Capitaine de pêche","non"
"79","Agriculture et élevage","115","Élevage, pêche","21","A1407","Éleveur / Éleveuse de bovins","non"
"79","Agriculture et élevage","115","Élevage, pêche","22","A1408","Éleveur / Éleveuse d'animaux","non"
"79","Agriculture et élevage","115","Élevage, pêche","23","A1409","Aviculteur / Avicultrice","non"
"79","Agriculture et élevage","115","Élevage, pêche","24","A1410","Éleveur / Éleveuse d'ovins","non"
"79","Agriculture et élevage","115","Élevage, pêche","25","A1411","Éleveur / Éleveuse de porcins","non"
"79","Agriculture et élevage","115","Élevage, pêche","26","A1412","Fromager-affineur / Fromagère-affineuse","non"
"79","Agriculture et élevage","115","Élevage, pêche","29","A1415","Marin-pêcheur","non"
"79","Agriculture et élevage","115","Élevage, pêche","30","A1416","Agriculteur / Agricultrice","non"
"79","Agriculture et élevage","115","Élevage, pêche","403955","A1419","Ouvrier agricole polyvalent / Ouvrière agricole polyvalente","non"
"79","Agriculture et élevage","115","Élevage, pêche","403957","A1421","Palefrenier soigneur / Palefrenière soigneuse","non"
"79","Agriculture et élevage","115","Élevage, pêche","488709","A1424","Pisciculteur / Piscicultrice","non"
"79","Agriculture et élevage","115","Élevage, pêche","488728","A1425","Ramendeur / Ramendeuse","non"
"79","Agriculture et élevage","115","Élevage, pêche","488766","A1426","Éducateur canin / Éducatrice canine","non"
"79","Agriculture et élevage","115","Élevage, pêche","488776","A1427","Goémonier / Goémonière","non"
"79","Agriculture et élevage","115","Élevage, pêche","488903","A1428","Algoculteur / Algocultrice","non"
"79","Agriculture et élevage","115","Élevage, pêche","488914","A1429","Apiculteur / Apicultrice","non"
"79","Agriculture et élevage","115","Élevage, pêche","489025","A1430","Ouvrier / Ouvrière aquacole","non"
"79","Agriculture et élevage","115","Élevage, pêche","489063","A1431","Ouvrier / Ouvrière piscicole","non"
"79","Agriculture et élevage","115","Élevage, pêche","327","I1603","Mécanicien-réparateur / Mécanicienne-réparatrice en matériels agricoles","non"
"79","Agriculture et élevage","115","Élevage, pêche","518","N3102","Marin","non"
"79","Agriculture et élevage","115","Élevage, pêche","489210","N4117","Conducteur / Conductrice d'attelage","non"
"79","Agriculture et élevage","","","6","A1101","Conducteur / Conductrice d'engins agricoles","oui"
"79","Agriculture et élevage","","","403950","A1102","Conducteur / Conductrice d'engins d'exploitation forestière","oui"
"79","Agriculture et élevage","","","7","A1201","Bûcheron / Bûcheronne","oui"
"79","Agriculture et élevage","","","11","A1205","Sylviculteur / Sylvicultrice","oui"
"79","Agriculture et élevage","","","488755","A1209","Élagueur / Élagueuse","oui"
"79","Agriculture et élevage","","","488859","A1210","Ouvrier forestier / Ouvrière forestière","oui"
"79","Agriculture et élevage","","","489058","A1212","Chef / Cheffe d'équipe de travaux forestiers","oui"
"79","Agriculture et élevage","","","489160","A1213","Conducteur / Conductrice de travaux forestiers","oui"
"79","Agriculture et élevage","","","12","A1301","Technicien / Technicienne de culture maraîchère","oui"
"79","Agriculture et élevage","","","13","A1302","Technicien / Technicienne agricole","oui"
"79","Agriculture et élevage","","","14","A1303","Ingénieur / Ingénieure agronome","oui"
"79","Agriculture et élevage","","","403951","A1304","Conseiller / Conseillère technique agricole","oui"
"79","Agriculture et élevage","","","15","A1401","Vendangeur / Vendangeuse","oui"
"79","Agriculture et élevage","","","16","A1402","Aide horticole","oui"
"79","Agriculture et élevage","","","17","A1403","Aide d'élevage agricole","oui"
"79","Agriculture et élevage","","","18","A1404","Aquaculteur / Aquacultrice","oui"
"79","Agriculture et élevage","","","19","A1405","Arboriculteur / Arboricultrice","oui"
"79","Agriculture et élevage","","","20","A1406","Capitaine de pêche","oui"
"79","Agriculture et élevage","","","21","A1407","Éleveur / Éleveuse de bovins","oui"
"79","Agriculture et élevage","","","22","A1408","Éleveur / Éleveuse d'animaux","oui"
"79","Agriculture et élevage","","","23","A1409","Aviculteur / Avicultrice","oui"
"79","Agriculture et élevage","","","24","A1410","Éleveur / Éleveuse d'ovins","oui"
"79","Agriculture et élevage","","","25","A1411","Éleveur / Éleveuse de porcins","oui"
"79","Agriculture et élevage","","","28","A1414","Horticulteur / Horticultrice","oui"
"79","Agriculture et élevage","","","29","A1415","Marin-pêcheur","oui"
"79","Agriculture et élevage","","","30","A1416","Agriculteur / Agricultrice","oui"
"79","Agriculture et élevage","","","31","A1417","Saliculteur / Salicultrice","oui"
"79","Agriculture et élevage","","","403953","A1418","Viticulteur / Viticultrice","oui"
"79","Agriculture et élevage","","","403955","A1419","Ouvrier agricole polyvalent / Ouvrière agricole polyvalente","oui"
"79","Agriculture et élevage","","","403956","A1420","Chef / Cheffe de culture responsable d'unité de production agricole","oui"
"79","Agriculture et élevage","","","403957","A1421","Palefrenier soigneur / Palefrenière soigneuse","oui"
"79","Agriculture et élevage","","","488709","A1424","Pisciculteur / Piscicultrice","oui"
"79","Agriculture et élevage","","","488728","A1425","Ramendeur / Ramendeuse","oui"
"79","Agriculture et élevage","","","488766","A1426","Éducateur canin / Éducatrice canine","oui"
"79","Agriculture et élevage","","","488776","A1427","Goémonier / Goémonière","oui"
"79","Agriculture et élevage","","","488903","A1428","Algoculteur / Algocultrice","oui"
"79","Agriculture et élevage","","","488914","A1429","Apiculteur / Apicultrice","oui"
"79","Agriculture et élevage","","","489025","A1430","Ouvrier / Ouvrière aquacole","oui"
"79","Agriculture et élevage","","","489063","A1431","Ouvrier / Ouvrière piscicole","oui"
"79","Agriculture et élevage","","","518","N3102","Marin","oui"
"98","Architecture, études et normes","135","Architecture","488634","A1206","Concepteur / Conceptrice paysagiste","non"
"98","Architecture, études et normes","135","Architecture","142","F1101","Architecte","non"
"98","Architecture, études et normes","135","Architecture","143","F1102","Architecte d'intérieur","non"
"98","Architecture, études et normes","135","Architecture","145","F1104","Dessinateur / Dessinatrice du BTP","non"
"98","Architecture, études et normes","135","Architecture","149","F1108","Métreur / Métreuse de la construction","non"
"98","Architecture, études et normes","135","Architecture","403079","F1110","Dessinateur / Dessinatrice enveloppe du bâtiment","non"
"98","Architecture, études et normes","135","Architecture","404537","F1113","Chargé / Chargée d'affaires en rénovation énergétique","non"
"98","Architecture, études et normes","135","Architecture","404538","F1114","Conseiller / Conseillère en rénovation énergétique","non"
"98","Architecture, études et normes","135","Architecture","488623","F1120","Économiste de la construction","non"
"98","Architecture, études et normes","135","Architecture","488637","F1121","Architecte du patrimoine national","non"
"98","Architecture, études et normes","135","Architecture","489182","F1126","Collaborateur / Collaboratrice d'architecte","non"
"98","Architecture, études et normes","137","Étude des sols et des bâtiments","489040","C1506","Responsable de projet immobilier","non"
"98","Architecture, études et normes","137","Étude des sols et des bâtiments","146","F1105","Géologue","non"
"98","Architecture, études et normes","137","Étude des sols et des bâtiments","147","F1106","Ingénieur / Ingénieure d'études BTP","non"
"98","Architecture, études et normes","137","Étude des sols et des bâtiments","148","F1107","Géomètre-topographe","non"
"98","Architecture, études et normes","137","Étude des sols et des bâtiments","403075","F1109","Assistant / Assistante géomètre","non"
"98","Architecture, études et normes","137","Étude des sols et des bâtiments","403089","F1111","Ingénieur / Ingénieure génie civil","non"
"98","Architecture, études et normes","137","Étude des sols et des bâtiments","403090","F1112","Ingénieur / Ingénieure calcul et structure","non"
"98","Architecture, études et normes","137","Étude des sols et des bâtiments","488590","F1117","Ingénieur / Ingénieure d'étude CVC","non"
"98","Architecture, études et normes","137","Étude des sols et des bâtiments","489011","F1125","BIM Manager","non"
"98","Architecture, études et normes","136","Normes","144","F1103","Diagnostiqueur / Diagnostiqueuse immobilier","non"
"98","Architecture, études et normes","136","Normes","153","F1204","Animateur / Animatrice QSE - Qualité Sécurité Environnement BTP","non"
"98","Architecture, études et normes","136","Normes","488285","H1304","Responsable environnement-hygiène-sécurité en industrie","non"
"98","Architecture, études et normes","136","Normes","229","H1501","Ingénieur / Ingénieure d'analyse industrielle","non"
"98","Architecture, études et normes","136","Normes","230","H1502","Responsable qualité en industrie","non"
"98","Architecture, études et normes","","","488634","A1206","Concepteur / Conceptrice paysagiste","oui"
"98","Architecture, études et normes","","","142","F1101","Architecte","oui"
"98","Architecture, études et normes","","","143","F1102","Architecte d'intérieur","oui"
"98","Architecture, études et normes","","","144","F1103","Diagnostiqueur / Diagnostiqueuse immobilier","oui"
"98","Architecture, études et normes","","","145","F1104","Dessinateur / Dessinatrice du BTP","oui"
"98","Architecture, études et normes","","","146","F1105","Géologue","oui"
"98","Architecture, études et normes","","","147","F1106","Ingénieur / Ingénieure d'études BTP","oui"
"98","Architecture, études et normes","","","148","F1107","Géomètre-topographe","oui"
"98","Architecture, études et normes","","","403075","F1109","Assistant / Assistante géomètre","oui"
"98","Architecture, études et normes","","","403079","F1110","Dessinateur / Dessinatrice enveloppe du bâtiment","oui"
"98","Architecture, études et normes","","","403089","F1111","Ingénieur / Ingénieure génie civil","oui"
"98","Architecture, études et normes","","","403090","F1112","Ingénieur / Ingénieure calcul et structure","oui"
"98","Architecture, études et normes","","","404538","F1114","Conseiller / Conseillère en rénovation énergétique","oui"
"98","Architecture, études et normes","","","488623","F1120","Économiste de la construction","oui"
"98","Architecture, études et normes","","","488637","F1121","Architecte du patrimoine national","oui"
"98","Architecture, études et normes","","","489182","F1126","Collaborateur / Collaboratrice d'architecte","oui"
"98","Architecture, études et normes","","","153","F1204","Animateur / Animatrice QSE - Qualité Sécurité Environnement BTP","oui"
"98","Architecture, études et normes","","","488285","H1304","Responsable environnement-hygiène-sécurité en industrie","oui"
"98","Architecture, études et normes","","","229","H1501","Ingénieur / Ingénieure d'analyse industrielle","oui"
"98","Architecture, études et normes","","","230","H1502","Responsable qualité en industrie","oui"
"87","Artisanat d'art, audiovisuel et spectacle","120","Artisanat d'art","36","B1101","Artiste Plasticien / Plasticienne","non"
"87","Artisanat d'art, audiovisuel et spectacle","120","Artisanat d'art","488793","B1102","Mosaïste d'art","non"
"87","Artisanat d'art, audiovisuel et spectacle","120","Artisanat d'art","489159","B1103","Sculpteur / Sculptrice ornemaniste sur pierre","non"
"87","Artisanat d'art, audiovisuel et spectacle","120","Artisanat d'art","37","B1201","Céramiste d'art","non"
"87","Artisanat d'art, audiovisuel et spectacle","120","Artisanat d'art","39","B1302","Décorateur / Décoratrice d'objets d'art","non"
"87","Artisanat d'art, audiovisuel et spectacle","120","Artisanat d'art","40","B1303","Graveur / Graveuse d'art","non"
"87","Artisanat d'art, audiovisuel et spectacle","120","Artisanat d'art","488724","B1304","Artisan démonstrateur / Artisane démonstratrice","non"
"87","Artisanat d'art, audiovisuel et spectacle","120","Artisanat d'art","41","B1401","Vannier / Vannière","non"
"87","Artisanat d'art, audiovisuel et spectacle","120","Artisanat d'art","489064","B1403","Restaurateur / Restauratrice de livres anciens","non"
"87","Artisanat d'art, audiovisuel et spectacle","120","Artisanat d'art","43","B1501","Facteur / Factrice d'instruments de musique","non"
"87","Artisanat d'art, audiovisuel et spectacle","120","Artisanat d'art","44","B1601","Métallier / Métallière d'art","non"
"87","Artisanat d'art, audiovisuel et spectacle","120","Artisanat d'art","45","B1602","Souffleur / Souffleuse de verre","non"
"87","Artisanat d'art, audiovisuel et spectacle","120","Artisanat d'art","46","B1603","Opérateur / Opératrice en orfèvrerie et bijouterie","non"
"87","Artisanat d'art, audiovisuel et spectacle","120","Artisanat d'art","47","B1604","Horloger / Horlogère","non"
"87","Artisanat d'art, audiovisuel et spectacle","120","Artisanat d'art","404957","B1605","Bijoutier / Bijoutière","non"
"87","Artisanat d'art, audiovisuel et spectacle","120","Artisanat d'art","404968","B1606","Joaillier / Joaillière","non"
"87","Artisanat d'art, audiovisuel et spectacle","120","Artisanat d'art","404969","B1607","Lapidaire / Diamantaire","non"
"87","Artisanat d'art, audiovisuel et spectacle","120","Artisanat d'art","404976","B1609","Responsable d'atelier en bijouterie ou joaillerie","non"
"87","Artisanat d'art, audiovisuel et spectacle","120","Artisanat d'art","404977","B1610","Sertisseur / Sertisseuse en bijouterie ou joaillerie","non"
"87","Artisanat d'art, audiovisuel et spectacle","120","Artisanat d'art","404978","B1611","Trieur / Trieuse de pierres et perles","non"
"87","Artisanat d'art, audiovisuel et spectacle","120","Artisanat d'art","404964","B1612","Concepteur / Conceptrice numérique en bijouterie joaillerie","non"
"87","Artisanat d'art, audiovisuel et spectacle","120","Artisanat d'art","488744","B1613","Orfèvre","non"
"87","Artisanat d'art, audiovisuel et spectacle","120","Artisanat d'art","489215","B1614","Monteur / Monteuse en orfèvrerie","non"
"87","Artisanat d'art, audiovisuel et spectacle","120","Artisanat d'art","490200","B1615","Orfèvre tourneur repousseur / Orfèvre tourneuse repousseuse","non"
"87","Artisanat d'art, audiovisuel et spectacle","120","Artisanat d'art","54","B1806","Tapissier / Tapissière d'ameublement","non"
"87","Artisanat d'art, audiovisuel et spectacle","120","Artisanat d'art","244","H2208","Sculpteur / Sculptrice sur bois","non"
"87","Artisanat d'art, audiovisuel et spectacle","120","Artisanat d'art","404973","H3405","Polisseur / Polisseuse en bijouterie ou joaillerie ou orfèvrerie","non"
"87","Artisanat d'art, audiovisuel et spectacle","120","Artisanat d'art","490329","H3407","Metteur au bain / Metteuse au bain argenture - dorure en orfèvrerie","non"
"87","Artisanat d'art, audiovisuel et spectacle","120","Artisanat d'art","490351","H3408","Metteur au point polisseur / Metteuse au point polisseuse sur matrice en orfèvrerie","non"
"87","Artisanat d'art, audiovisuel et spectacle","120","Artisanat d'art","488737","K1907","Commissaire-priseur / Commissaire-priseure","non"
"87","Artisanat d'art, audiovisuel et spectacle","122","Audiovisuel","127","E1201","Photographe","non"
"87","Artisanat d'art, audiovisuel et spectacle","122","Audiovisuel","128","E1202","Employé / Employée de laboratoire cinématographique","non"
"87","Artisanat d'art, audiovisuel et spectacle","122","Audiovisuel","129","E1203","Développeur / Développeuse de photographies","non"
"87","Artisanat d'art, audiovisuel et spectacle","122","Audiovisuel","130","E1204","Projectionniste","non"
"87","Artisanat d'art, audiovisuel et spectacle","122","Audiovisuel","488782","E1207","Motion designer","non"
"87","Artisanat d'art, audiovisuel et spectacle","122","Audiovisuel","437","L1103","Animateur / Animatrice radio","non"
"87","Artisanat d'art, audiovisuel et spectacle","122","Audiovisuel","488789","L1207","Cascadeur / Cascadeuse","non"
"87","Artisanat d'art, audiovisuel et spectacle","122","Audiovisuel","443","L1302","Producteur / Productrice de film","non"
"87","Artisanat d'art, audiovisuel et spectacle","122","Audiovisuel","445","L1304","Réalisateur / Réalisatrice","non"
"87","Artisanat d'art, audiovisuel et spectacle","122","Audiovisuel","451","L1505","Cadreur / Cadreuse","non"
"87","Artisanat d'art, audiovisuel et spectacle","122","Audiovisuel","453","L1507","Monteur / Monteuse vidéo","non"
"87","Artisanat d'art, audiovisuel et spectacle","122","Audiovisuel","454","L1508","Régisseur / Régisseuse du son","non"
"87","Artisanat d'art, audiovisuel et spectacle","122","Audiovisuel","455","L1509","Régisseur / Régisseuse de production","non"
"87","Artisanat d'art, audiovisuel et spectacle","122","Audiovisuel","39022","L1510","Animateur / Animatrice 3D - films d'animation","non"
"87","Artisanat d'art, audiovisuel et spectacle","122","Audiovisuel","488715","L1511","Technicien / Technicienne spectacle en site de divertissement","non"
"87","Artisanat d'art, audiovisuel et spectacle","122","Audiovisuel","489065","L1512","Régisseur / Régisseuse de spectacles","non"
"87","Artisanat d'art, audiovisuel et spectacle","122","Audiovisuel","489172","L1513","Scénographe","non"
"87","Artisanat d'art, audiovisuel et spectacle","122","Audiovisuel","489039","N2206","Pilote de drone","non"
"87","Artisanat d'art, audiovisuel et spectacle","121","Spectacle","125","E1107","Chef / Cheffe de projet événementiel","non"
"87","Artisanat d'art, audiovisuel et spectacle","121","Spectacle","488867","E1111","Game master jeux online","non"
"87","Artisanat d'art, audiovisuel et spectacle","121","Spectacle","489193","G1223","Animateur / Animatrice en site de divertissement","non"
"87","Artisanat d'art, audiovisuel et spectacle","121","Spectacle","489568","G1414","Directeur / Directrice d'exploitation de site de divertissement","non"
"87","Artisanat d'art, audiovisuel et spectacle","121","Spectacle","488891","G1707","Responsable de vestiaire","non"
"87","Artisanat d'art, audiovisuel et spectacle","121","Spectacle","435","L1101","Disc-jockey","non"
"87","Artisanat d'art, audiovisuel et spectacle","121","Spectacle","436","L1102","Mannequin","non"
"87","Artisanat d'art, audiovisuel et spectacle","121","Spectacle","438","L1201","Danseur / Danseuse","non"
"87","Artisanat d'art, audiovisuel et spectacle","121","Spectacle","439","L1202","Musicien / Musicienne","non"
"87","Artisanat d'art, audiovisuel et spectacle","121","Spectacle","440","L1203","Comédien / Comédienne","non"
"87","Artisanat d'art, audiovisuel et spectacle","121","Spectacle","441","L1204","Artiste de cirque","non"
"87","Artisanat d'art, audiovisuel et spectacle","121","Spectacle","488723","L1205","Artiste-interprète","non"
"87","Artisanat d'art, audiovisuel et spectacle","121","Spectacle","488757","L1206","Cavalier / Cavalière de spectacle","non"
"87","Artisanat d'art, audiovisuel et spectacle","121","Spectacle","488789","L1207","Cascadeur / Cascadeuse","non"
"87","Artisanat d'art, audiovisuel et spectacle","121","Spectacle","489202","L1208","Mascotte-personnage","non"
"87","Artisanat d'art, audiovisuel et spectacle","121","Spectacle","442","L1301","Metteur / Metteuse en scène","non"
"87","Artisanat d'art, audiovisuel et spectacle","121","Spectacle","444","L1303","Agent / Agente de talent","non"
"87","Artisanat d'art, audiovisuel et spectacle","121","Spectacle","489569","L1305","Directeur / Directrice artistique spectacle","non"
"87","Artisanat d'art, audiovisuel et spectacle","121","Spectacle","447","L1501","Maquilleur / Maquilleuse spectacle","non"
"87","Artisanat d'art, audiovisuel et spectacle","121","Spectacle","448","L1502","Costumier / Costumière","non"
"87","Artisanat d'art, audiovisuel et spectacle","121","Spectacle","449","L1503","Accessoiriste","non"
"87","Artisanat d'art, audiovisuel et spectacle","121","Spectacle","450","L1504","Éclairagiste","non"
"87","Artisanat d'art, audiovisuel et spectacle","121","Spectacle","452","L1506","Machiniste spectacle","non"
"87","Artisanat d'art, audiovisuel et spectacle","121","Spectacle","488715","L1511","Technicien / Technicienne spectacle en site de divertissement","non"
"87","Artisanat d'art, audiovisuel et spectacle","121","Spectacle","489065","L1512","Régisseur / Régisseuse de spectacles","non"
"87","Artisanat d'art, audiovisuel et spectacle","121","Spectacle","489172","L1513","Scénographe","non"
"87","Artisanat d'art, audiovisuel et spectacle","","","36","B1101","Artiste Plasticien / Plasticienne","oui"
"87","Artisanat d'art, audiovisuel et spectacle","","","489159","B1103","Sculpteur / Sculptrice ornemaniste sur pierre","oui"
"87","Artisanat d'art, audiovisuel et spectacle","","","37","B1201","Céramiste d'art","oui"
"87","Artisanat d'art, audiovisuel et spectacle","","","39","B1302","Décorateur / Décoratrice d'objets d'art","oui"
"87","Artisanat d'art, audiovisuel et spectacle","","","40","B1303","Graveur / Graveuse d'art","oui"
"87","Artisanat d'art, audiovisuel et spectacle","","","488724","B1304","Artisan démonstrateur / Artisane démonstratrice","oui"
"87","Artisanat d'art, audiovisuel et spectacle","","","41","B1401","Vannier / Vannière","oui"
"87","Artisanat d'art, audiovisuel et spectacle","","","489064","B1403","Restaurateur / Restauratrice de livres anciens","oui"
"87","Artisanat d'art, audiovisuel et spectacle","","","43","B1501","Facteur / Factrice d'instruments de musique","oui"
"87","Artisanat d'art, audiovisuel et spectacle","","","44","B1601","Métallier / Métallière d'art","oui"
"87","Artisanat d'art, audiovisuel et spectacle","","","45","B1602","Souffleur / Souffleuse de verre","oui"
"87","Artisanat d'art, audiovisuel et spectacle","","","46","B1603","Opérateur / Opératrice en orfèvrerie et bijouterie","oui"
"87","Artisanat d'art, audiovisuel et spectacle","","","47","B1604","Horloger / Horlogère","oui"
"87","Artisanat d'art, audiovisuel et spectacle","","","404957","B1605","Bijoutier / Bijoutière","oui"
"87","Artisanat d'art, audiovisuel et spectacle","","","404968","B1606","Joaillier / Joaillière","oui"
"87","Artisanat d'art, audiovisuel et spectacle","","","404969","B1607","Lapidaire / Diamantaire","oui"
"87","Artisanat d'art, audiovisuel et spectacle","","","404976","B1609","Responsable d'atelier en bijouterie ou joaillerie","oui"
"87","Artisanat d'art, audiovisuel et spectacle","","","404977","B1610","Sertisseur / Sertisseuse en bijouterie ou joaillerie","oui"
"87","Artisanat d'art, audiovisuel et spectacle","","","404978","B1611","Trieur / Trieuse de pierres et perles","oui"
"87","Artisanat d'art, audiovisuel et spectacle","","","404964","B1612","Concepteur / Conceptrice numérique en bijouterie joaillerie","oui"
"87","Artisanat d'art, audiovisuel et spectacle","","","488744","B1613","Orfèvre","oui"
"87","Artisanat d'art, audiovisuel et spectacle","","","489215","B1614","Monteur / Monteuse en orfèvrerie","oui"
"87","Artisanat d'art, audiovisuel et spectacle","","","490200","B1615","Orfèvre tourneur repousseur / Orfèvre tourneuse repousseuse","oui"
"87","Artisanat d'art, audiovisuel et spectacle","","","54","B1806","Tapissier / Tapissière d'ameublement","oui"
"87","Artisanat d'art, audiovisuel et spectacle","","","125","E1107","Chef / Cheffe de projet événementiel","oui"
"87","Artisanat d'art, audiovisuel et spectacle","","","488867","E1111","Game master jeux online","oui"
"87","Artisanat d'art, audiovisuel et spectacle","","","127","E1201","Photographe","oui"
"87","Artisanat d'art, audiovisuel et spectacle","","","128","E1202","Employé / Employée de laboratoire cinématographique","oui"
