"code_centre_interet","libelle_centre_interet","code_ogr_rome","code_rome","libelle_rome","principal"
"1","J'ai envie de créer, construire, rénover","488603","M1816","Technicien / Technicienne réseaux informatiques et télécoms","oui"
"1","J'ai envie de créer, construire, rénover","488772","M1829","Ingénieur / Ingénieure systèmes et réseaux des territoires connectés","non"
"1","J'ai envie de créer, construire, rénover","488890","M1835","Architecte systèmes et réseaux des territoires connectés","non"
"1","J'ai envie de créer, construire, rénover","488917","M1840","Directeur / Directrice de projets des territoires connectés","non"
"2","J'ai l'âme d'un chef / d'une cheffe","488640","A1207","Chef / Cheffe d'équipe d'entretien d'espaces naturels","non"
"2","J'ai l'âme d'un chef / d'une cheffe","489042","A1211","Chef / Cheffe d'équipe paysagiste","non"
"2","J'ai l'âme d'un chef / d'une cheffe","489058","A1212","Chef / Cheffe d'équipe de travaux forestiers","non"
"2","J'ai l'âme d'un chef / d'une cheffe","489160","A1213","Conducteur / Conductrice de travaux forestiers","non"
"2","J'ai l'âme d'un chef / d'une cheffe","20","A1406","Capitaine de pêche","non"
"2","J'ai l'âme d'un chef / d'une cheffe","403956","A1420","Chef / Cheffe de culture responsable d'unité de production agricole","non"
"2","J'ai l'âme d'un chef / d'une cheffe","57","C1103","Courtier / Courtière en assurance","non"
"2","J'ai l'âme d'un chef / d'une cheffe","58","C1104","Responsable d'agence en assurances","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","62","C1108","Responsable de département en assurances","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","71","C1207","Directeur / Directrice d'agence bancaire","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","403085","C1505","Responsable d'agence immobilière","non"
"2","J'ai l'âme d'un chef / d'une cheffe","101","D1301","Responsable de magasin","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","488618","D1302","Responsable de boutique","non"
"2","J'ai l'âme d'un chef / d'une cheffe","107","D1406","Responsable des ventes","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","488282","D1411","Responsable Efficacité Commerciale (SFE)","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","488326","D1414","Responsable de zone internationale","non"
"2","J'ai l'âme d'un chef / d'une cheffe","488908","D1417","Chef / Cheffe des ventes","non"
"2","J'ai l'âme d'un chef / d'une cheffe","111","D1502","Chef / Cheffe de rayon alimentaire","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","112","D1503","Chef / Cheffe de rayon de produits non alimentaires","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","113","D1504","Directeur / Directrice de magasin","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","115","D1506","Marchandiseur / Marchandiseuse","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","117","D1508","Responsable de caisses","non"
"2","J'ai l'âme d'un chef / d'une cheffe","118","D1509","Responsable de département en grande distribution","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","403087","D1510","Chef / Cheffe de secteur commercial","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","134","E1303","Responsable d'atelier d'impression","non"
"2","J'ai l'âme d'un chef / d'une cheffe","151","F1202","Chef / Cheffe de chantier","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","153","F1204","Animateur / Animatrice QSE - Qualité Sécurité Environnement BTP","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","403076","F1205","Responsable de travaux BTP","non"
"2","J'ai l'âme d'un chef / d'une cheffe","489220","F1206","Chef / Cheffe d'équipe bâtiment","non"
"2","J'ai l'âme d'un chef / d'une cheffe","490402","F1207","Chef / Cheffe d'équipe travaux publics","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","404966","G1214","Directeur sportif / Directrice sportive","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","192","G1402","Directeur / Directrice d'établissement en hôtellerie-restauration","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","193","G1403","Directeur / Directrice de structure touristique","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","194","G1404","Responsable d'établissement de restauration collective","non"
"2","J'ai l'âme d'un chef / d'une cheffe","404965","G1405","Directeur / Directrice de structure sportive","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","488348","G1406","Directeur / Directrice d'équipement sportif","non"
"2","J'ai l'âme d'un chef / d'une cheffe","488762","G1408","Directeur / Directrice de structure d'hébergement touristique","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","489049","G1410","Directeur / Directrice de la restauration","non"
"2","J'ai l'âme d'un chef / d'une cheffe","489171","G1411","Directeur / Directrice d'hôtel","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","489204","G1412","Directeur / Directrice de parc à thème","non"
"2","J'ai l'âme d'un chef / d'une cheffe","489205","G1413","Directeur / Directrice de restaurant","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","489568","G1414","Directeur / Directrice d'exploitation de site de divertissement","non"
"2","J'ai l'âme d'un chef / d'une cheffe","197","G1503","Gouvernant / Gouvernante d'hôtel","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","198","G1601","Chef / Cheffe de cuisine","non"
"2","J'ai l'âme d'un chef / d'une cheffe","488585","G1705","Chef / Cheffe concierge d'hôtel","non"
"2","J'ai l'âme d'un chef / d'une cheffe","488620","G1706","Chef / Cheffe de réception en hôtellerie","non"
"2","J'ai l'âme d'un chef / d'une cheffe","207","G1802","Maître / Maîtresse d'hôtel","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","488898","G1806","Chef sommelier / Cheffe sommelière","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","488635","G1808","Chef barman / Cheffe barmaid","non"
"2","J'ai l'âme d'un chef / d'une cheffe","488861","G1810","Chef / Cheffe de rang","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","488302","H1103","Responsable d'affaires en industrie","non"
"2","J'ai l'âme d'un chef / d'une cheffe","488321","H1104","Directeur / Directrice des affaires médicales pharmaceutiques","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","489015","H1107","Directeur / Directrice assistance technique","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","404541","H1211","Attaché / Attachée de recherche clinique (ARC)","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","488297","H1405","Responsable supply chain en industrie","non"
"2","J'ai l'âme d'un chef / d'une cheffe","229","H1501","Ingénieur / Ingénieure d'analyse industrielle","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","230","H1502","Responsable qualité en industrie","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","404542","H1507","Chargé / Chargée des affaires réglementaires","non"
"2","J'ai l'âme d'un chef / d'une cheffe","488284","H1509","Responsable des affaires règlementaires","non"
"2","J'ai l'âme d'un chef / d'une cheffe","488312","H1512","Directeur / Directrice de zone","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","488343","H1517","Responsable de laboratoire de contrôle en industrie pharmaceutique","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","488344","H1518","Responsable assurance qualité en industrie","non"
"2","J'ai l'âme d'un chef / d'une cheffe","488352","H1519","Responsable éthique-déontologie-conformité","non"
"2","J'ai l'âme d'un chef / d'une cheffe","240","H2204","Contremaître / Contremaîtresse en menuiserie","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","488875","H2424","Chef(fe) de ligne chromo en industrie textile","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","488932","H2426","Chef(fe) d'équipe en atelier de coupe","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","262","H2501","Chef / Cheffe d'atelier production électricité-électronique","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","263","H2502","Responsable d'unité de production industrielle","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","264","H2503","Responsable d'îlot de production","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","265","H2504","Chef / Cheffe d'équipe en industrie","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","266","H2505","Chef / Cheffe d'équipe et d'atelier textile","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","488286","H2506","Chef / Cheffe de production en industrie agroalimentaire","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","488315","H2507","Responsable de ligne de production industrielle","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","275","H2803","Opérateur / Opératrice de production en céramique","non"
"2","J'ai l'âme d'un chef / d'une cheffe","488913","H3304","Chef / Cheffe de ligne conditionnement","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","304","I1101","Directeur / Directrice des travaux bâtiment","non"
"2","J'ai l'âme d'un chef / d'une cheffe","305","I1102","Ingénieur / Ingénieure de maintenance industrielle","non"
"2","J'ai l'âme d'un chef / d'une cheffe","306","I1103","Chef d'atelier automobile","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","488930","I1105","Responsable de maintenance et d'exploitation","non"
"2","J'ai l'âme d'un chef / d'une cheffe","488788","I1107","Responsable d'atelier de mécanique parcs et jardins","non"
"2","J'ai l'âme d'un chef / d'une cheffe","488613","I1610","Responsable atelier carrosserie","non"
"2","J'ai l'âme d'un chef / d'une cheffe","404041","J1105","Médecin coordonnateur","non"
"2","J'ai l'âme d'un chef / d'une cheffe","353","J1409","Podologue","non"
"2","J'ai l'âme d'un chef / d'une cheffe","356","J1412","Psychomotricien / Psychomotricienne","non"
"2","J'ai l'âme d'un chef / d'une cheffe","369","K1202","Éducateur / Éducatrice de jeunes enfants","non"
"2","J'ai l'âme d'un chef / d'une cheffe","379","K1401","Cadre Dirigeant / Dirigeante d'administration centrale","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","381","K1403","Directeur / Directrice de structure de santé, sociale ou pénitentiaire","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","404545","K1406","Secrétaire de mairie","non"
"2","J'ai l'âme d'un chef / d'une cheffe","488293","K1407","Directeur / Directrice d'établissement médicosocial","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","488294","K1408","Responsable de secteur d'aide à domicile","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","488311","K1409","Responsable de structure sanitaire et sociale","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","489074","K1410","Directeur régional / Directrice régionale des services pénitentiaires","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","392","K1702","Responsable de sécurité civile et de secours","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","393","K1703","Responsable Opérationnel / Opérationnelle de la défense","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","394","K1704","Officier / Officière de police","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","488345","K1710","Officier de police judiciaire / Officière de police judiciaire","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","488907","K1716","Chef / Cheffe de service pénitentiaire","non"
"2","J'ai l'âme d'un chef / d'une cheffe","489167","K1719","Chef / Cheffe de police municipale","non"
"2","J'ai l'âme d'un chef / d'une cheffe","406","K2103","Chef / Cheffe d'établissement","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","488915","K2116","Responsable d'unité d'enseignement de la conduite de véhicule","non"
"2","J'ai l'âme d'un chef / d'une cheffe","488923","K2117","Inspecteur / Inspectrice de l'Éducation Nationale -IEN-","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","418","K2203","Responsable de site nettoyage de locaux","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","421","K2302","Directeur / Directrice collecte des déchets","non"
"2","J'ai l'âme d'un chef / d'une cheffe","425","K2306","Responsable de site éco-industriel","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","404547","K2403","Biostatisticien / Biostatisticienne","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","429","K2502","Responsable sécurité de site","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","488622","K2505","Enquêteur privé / Enquêtrice privée","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","445","L1304","Réalisateur / Réalisatrice","non"
"2","J'ai l'âme d'un chef / d'une cheffe","489569","L1305","Directeur / Directrice artistique spectacle","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","455","L1509","Régisseur / Régisseuse de production","non"
"2","J'ai l'âme d'un chef / d'une cheffe","489065","L1512","Régisseur / Régisseuse de spectacles","non"
"2","J'ai l'âme d'un chef / d'une cheffe","462","M1205","Directeur administratif et financier / Directrice administrative et financière -DAF-","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","463","M1206","Chef comptable","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","465","M1301","Président Directeur Général / Présidente Directrice Générale -PDG-","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","466","M1302","Responsable de Petite ou Moyenne Entreprise -PME-","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","470","M1404","Sondeur enquêteur / Sondeuse enquêtrice","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","488756","M1411","Responsable d'enquêtes","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","473","M1503","Directeur / Directrice des Ressources Humaines -DRH-","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","488608","M1506","Manager de proximité","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","483","M1701","Responsable de l'administration des ventes","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","485","M1703","Chef / Cheffe de produit","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","486","M1704","Responsable relation client (CRM)","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","489","M1707","Responsable Commercial / Commerciale","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","488274","M1708","Directeur / Directrice de l'accès au marché","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","488275","M1709","Chef / Cheffe de gamme","non"
"2","J'ai l'âme d'un chef / d'une cheffe","488342","M1713","Responsable d'associations de patients","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","488738","M1715","Directeur commercial / Directrice commerciale","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","492","M1803","Directeur / Directrice des services informatiques -DSI-","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","404049","M1812","Responsable de la Sécurité des Systèmes d'Information (RSSI)","non"
"2","J'ai l'âme d'un chef / d'une cheffe","488917","M1840","Directeur / Directrice de projets des territoires connectés","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","489073","M1853","Chef / Cheffe de projet étude et développement informatique","non"
"2","J'ai l'âme d'un chef / d'une cheffe","489217","M1862","Responsable d'exploitation fibre optique","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","488924","N1112","Chef cariste / Cheffe cariste","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","508","N1302","Responsable entrepôt logistique","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","488588","N1304","Directeur / Directrice logistique","non"
"2","J'ai l'âme d'un chef / d'une cheffe","511","N2102","Pilote de ligne","non"
"2","J'ai l'âme d'un chef / d'une cheffe","516","N2205","Chef / Cheffe d'escale","oui"
