"code_ogr_savoir","libelle_savoir","categorie_savoir","sous_categorie_savoir","transition_eco","transition_num"
"100232","Spécificités de stockage des vins","Domaines d'expertise","Expertises techniques","","N"
"100234","Techniques d'embouteillage","Techniques professionnelles","Techniques manuelles, artisanales, industrielles","","N"
"100243","Utilisation d'équipement de secours et de sauvetage","Produits, outils et matières","Outils, machines, équipement matériel","","N"
"100244","Typologie des navires","Produits, outils et matières","Véhicules","","N"
"100246","Règles de sécurité maritime","Normes et procédés","Règlementations, normes","","N"
"100248","Droit maritime","Normes et procédés","Règlementations, normes","","N"
"100249","Économie des pêches","Domaines d'expertise","Expertises techniques","","N"
"100251","Mise en place de signalisations de sécurité","Produits, outils et matières","Outils, machines, équipement matériel","","N"
"100252","Langage Morse","Domaines d'expertise","Langages informatiques","","O"
"100253","Anglais maritime","Domaines d'expertise","Langues","","N"
"100259","Utilisation de matériel de nettoyage","Produits, outils et matières","Outils, machines, équipement matériel","","N"
"100261","Zootechnie","Domaines d'expertise","Expertises scientifiques","","N"
"100262","Techniques de désinfection des surfaces","Normes et procédés","Méthodes, procédés, procédures","","N"
"100263","Certificat de transport d'animaux vivants","Certifications et habilitations","Habilitations","","N"
"100264","Potentiel généalogique","Domaines d'expertise","Sciences humaines","","N"
"100266","Méthodes d'insémination","Normes et procédés","Méthodes, procédés, procédures","","N"
"100271","Techniques de toilettage","Techniques professionnelles","Techniques manuelles, artisanales, industrielles","","N"
"100272","Techniques de maréchalerie","Domaines d'expertise","Agriculture","","N"
"100285","Annexes Convention de Washington (CITES)","Normes et procédés","Règlementations, normes","","N"
"100286","Techniques de soudure","Techniques professionnelles","Techniques manuelles, artisanales, industrielles","","N"
"100290","Techniques de stockage optimisé","Normes et procédés","Méthodes, procédés, procédures","","N"
"100298","Procédés d'accouvage","Normes et procédés","Méthodes, procédés, procédures","","N"
"100302","Techniques de contention animale","Domaines d'expertise","Agriculture","","N"
"100303","Modalités de transport d'animaux","Normes et procédés","Méthodes, procédés, procédures","","N"
"100304","Procédure de traite","Normes et procédés","Méthodes, procédés, procédures","","N"
"100305","Techniques d'arrosage","Techniques professionnelles","Techniques manuelles, artisanales, industrielles","","N"
"100318","Emprésurage du lait","Domaines d'expertise","Agriculture","","N"
"100319","Pressage manuel du caillé","Domaines d'expertise","Agriculture","","N"
"100320","Salage manuel","Domaines d'expertise","Agriculture","","N"
"100322","Découpe manuelle de fromage","Domaines d'expertise","Expertises techniques","","N"
"100340","Techniques de vente et de promotion","Techniques professionnelles","Autres techniques professionnelles","","N"
"100341","Procédures d'encaissement","Normes et procédés","Méthodes, procédés, procédures","","N"
"100343","Législation sociale","Normes et procédés","Règlementations, normes","","N"
"100354","Types de cépages (ampélographie)","Produits, outils et matières","Aliments et spécialités culinaires","","N"
"100356","Oenologie","Domaines d'expertise","Expertises sensorielles","","N"
"100357","Réglementation sur la production vinicole","Normes et procédés","Règlementations, normes","","N"
"100358","Réglementation sur la production cidricole","Normes et procédés","Règlementations, normes","","N"
"100359","Règles d'hygiène et de sécurité alimentaire","Normes et procédés","Règlementations, normes","","N"
"100362","Procédures d'échantillonnage","Normes et procédés","Méthodes, procédés, procédures","","N"
"100367","Utilisation d'appareils de distillation (alambic)","Produits, outils et matières","Outils, machines, équipement matériel","","N"
"100369","Vignobles et appellations","Produits, outils et matières","Aliments et spécialités culinaires","","N"
"100373","Techniques d'assemblages de vins, de jus","Domaines d'expertise","Agriculture","","N"
"100376","Sommellerie","Domaines d'expertise","Expertises techniques","","N"
"100381","Argumentation commerciale","Domaines d'expertise","Expertises techniques","","N"
"100390","Manoeuvre du skiff","Normes et procédés","Méthodes, procédés, procédures","","N"
"100392","Techniques de matelotage","Techniques professionnelles","Techniques manuelles, artisanales, industrielles","","N"
"100414","Règles d'hygiène et d'asepsie","Normes et procédés","Règlementations, normes","","N"
"100415","Anatomie, physiologie et comportement des équidés","Produits, outils et matières","Animaux, végétaux","","N"
"100416","Animaux domestiques","Produits, outils et matières","Animaux, végétaux","","N"
"100417","Animaux d'élevage (bovins, ovins, porcins, ...)","Produits, outils et matières","Animaux, végétaux","","N"
"100418","Animaux sauvages","Produits, outils et matières","Animaux, végétaux","","N"
"100420","Règles de délivrance des médicaments vétérinaires","Normes et procédés","Règlementations, normes","","N"
"100427","Utilisation de matériel de forge","Produits, outils et matières","Outils, machines, équipement matériel","","N"
"100428","Utilisation d'outils manuels de podologie animale","Produits, outils et matières","Outils, machines, équipement matériel","","N"
"100429","Anatomie animale","Domaines d'expertise","Expertises médicales et paramédicales","","N"
"100430","Techniques de parage de sabot","Domaines d'expertise","Agriculture","","N"
"100431","Techniques de ferrage (à froid, à chaud)","Techniques professionnelles","Techniques manuelles, artisanales, industrielles","","N"
"100434","Ferrure pathologique","Produits, outils et matières","Matières, matériaux","","N"
"100435","Ferrure thérapeutique","Produits, outils et matières","Matières, matériaux","","N"
"100437","Procédés de formage","Normes et procédés","Méthodes, procédés, procédures","","N"
"100449","Produits animaliers","Produits, outils et matières","Aliments et spécialités culinaires","","N"
"100452","Utilisation de matériel de toilettage","Produits, outils et matières","Outils, machines, équipement matériel","","N"
"100453","Techniques de stérilisation du matériel","Normes et procédés","Méthodes, procédés, procédures","","N"
"100454","Procédures de prévention des risques sanitaires","Normes et procédés","Méthodes, procédés, procédures","","N"
"100455","Procédures d'accueil des animaux","Normes et procédés","Méthodes, procédés, procédures","","N"
"100465","Utilisation de matériel de radiologie","Produits, outils et matières","Outils, machines, équipement matériel","","N"
"100466","Utilisation d'analyseur biologique","Produits, outils et matières","Outils, machines, équipement matériel","","N"
"100468","Comportement animalier","Domaines d'expertise","Expertises médicales et paramédicales","","N"
"100469","Diététique animale","Domaines d'expertise","Expertises médicales et paramédicales","","N"
"100470","Code de santé publique","Normes et procédés","Règlementations, normes","","N"
"100471","Chirurgie vétérinaire","Domaines d'expertise","Expertises médicales et paramédicales","","N"
"100472","Animaux de compétition","Produits, outils et matières","Animaux, végétaux","","N"
"100482","Ostéopathie équine","Domaines d'expertise","Expertises médicales et paramédicales","","N"
"100483","Kinésithérapie animale","Domaines d'expertise","Expertises médicales et paramédicales","","N"
"100492","Gestion des couleurs et contrastes","Domaines d'expertise","Expertises sensorielles","","N"
"100495","Culture artistique","Domaines d'expertise","Arts et culture","","N"
"100506","Utilisation d'outils à bois manuels","Produits, outils et matières","Outils, machines, équipement matériel","","N"
"100507","Utilisation d'outillages électroportatifs (scie électrique, ponceuse, ...)","Produits, outils et matières","Outils, machines, équipement matériel","","N"
"100508","Utilisation d'aérographe","Produits, outils et matières","Outils, machines, équipement matériel","","N"
"100512","Techniques de l'aquarelle","Domaines d'expertise","Arts et culture","","N"
"100517","Techniques de moulage et de sculpture","Techniques professionnelles","Techniques manuelles, artisanales, industrielles","","N"
"100518","Techniques de montage audiovisuel","Techniques professionnelles","Techniques manuelles, artisanales, industrielles","","N"
"100538","Techniques du trompe-l'oeil","Domaines d'expertise","Arts et culture","","N"
"100541","Techniques de communication orales, écrites et numériques","Techniques professionnelles","Autres techniques professionnelles","","N"
"100542","Scénographie","Domaines d'expertise","Arts et culture","","N"
"100551","Utilisation d'outils manuels (ébauchoir, estèque, mirette, ...)","Produits, outils et matières","Outils, machines, équipement matériel","","N"
"100560","Articles d'art de la table","Produits, outils et matières","Produits finis, services","","N"
"100565","Caractéristiques du grès","Produits, outils et matières","Matières, matériaux","","N"
"100566","Techniques du raku","Techniques professionnelles","Techniques manuelles, artisanales, industrielles","","N"
"100576","Utilisation de tour","Produits, outils et matières","Outils, machines, équipement matériel","","N"
"100579","Techniques des englobes","Techniques professionnelles","Techniques manuelles, artisanales, industrielles","","N"
"100586","Procédés d'impression répétitifs (sérigraphie, pochoir, tampon)","Normes et procédés","Méthodes, procédés, procédures","","N"
"100590","Techniques de poudrage","Techniques professionnelles","Techniques manuelles, artisanales, industrielles","","N"
"100594","Dessin industriel","Domaines d'expertise","Expertises techniques","","N"
"100596","Techniques de maçonnerie","Techniques professionnelles","Techniques manuelles, artisanales, industrielles","","N"
"100597","Principes de conservation préventive","Normes et procédés","Méthodes, procédés, procédures","","N"
"100598","Techniques de restauration de documents","Techniques professionnelles","Techniques manuelles, artisanales, industrielles","","N"
"100610","Techniques de dessin","Techniques professionnelles","Autres techniques professionnelles","","N"
"100618","Aménagement d'espaces intérieurs","Domaines d'expertise","Expertises techniques","","N"
"100619","Muséographie","Domaines d'expertise","Arts et culture","","N"
"100628","Mode et styles vestimentaires","Domaines d'expertise","Expertises techniques","","N"
"100633","Graphisme","Domaines d'expertise","Expertises techniques","","N"
"100634","Techniques de peinture artistique","Techniques professionnelles","Techniques manuelles, artisanales, industrielles","","N"
"100643","Tracé de croquis","Domaines d'expertise","Expertises techniques","","N"
"100644","Abrasion manuelle","Techniques professionnelles","Techniques manuelles, artisanales, industrielles","","N"
"100645","Techniques de peinture par filets","Techniques professionnelles","Techniques manuelles, artisanales, industrielles","","N"
"100646","Procédures de séchage (température, durée, ...)","Normes et procédés","Méthodes, procédés, procédures","","N"
"100647","Techniques de masquage","Normes et procédés","Méthodes, procédés, procédures","","N"
"100662","Utilisation de pistolet de projection","Produits, outils et matières","Outils, machines, équipement matériel","","N"
"100663","Préparation de bains de traitement","Normes et procédés","Méthodes, procédés, procédures","","N"
"100665","Propriétés des métaux","Produits, outils et matières","Matières, matériaux","","N"
"100666","Techniques d'électrolyse","Techniques professionnelles","Techniques manuelles, artisanales, industrielles","","N"
"100672","Techniques de titrage","Techniques professionnelles","Techniques manuelles, artisanales, industrielles","","N"
"100673","Utilisation de fer à dorer","Produits, outils et matières","Outils, machines, équipement matériel","","N"
"100674","Utilisation de fleuron et empreinte","Produits, outils et matières","Outils, machines, équipement matériel","","N"
"100677","Caractéristiques des ouvrages graphiques","Produits, outils et matières","Objets d'art","","N"
"100678","Sécurité et entretien des outils de sculpture","Domaines d'expertise","Arts et culture","","N"
"100679","Caractéristiques des tableaux","Produits, outils et matières","Objets d'art","","N"
"100681","Histoire des arts décoratifs","Domaines d'expertise","Arts et culture","","N"
"100682","Techniques d'entoilage","Techniques professionnelles","Techniques manuelles, artisanales, industrielles","","N"
"100685","Utilisation de pigments naturels","Produits, outils et matières","Outils, machines, équipement matériel","","N"
"100686","Teinture chimique","Domaines d'expertise","Expertises techniques","","N"
"100693","Techniques de pantographie","Techniques professionnelles","Techniques manuelles, artisanales, industrielles","","N"
"100703","Utilisation de matériel de pulvérisation (jet de sable)","Produits, outils et matières","Outils, machines, équipement matériel","","N"
"100711","Techniques de ciselure en repoussé indirect (resingle)","Techniques professionnelles","Techniques manuelles, artisanales, industrielles","","N"
"100712","Techniques de ciselure en tracé mati","Techniques professionnelles","Techniques manuelles, artisanales, industrielles","","N"
"100713","Techniques de ciselure à la molette","Techniques professionnelles","Techniques manuelles, artisanales, industrielles","","N"
"100714","Techniques de ciselure sur linléum","Techniques professionnelles","Techniques manuelles, artisanales, industrielles","","N"
"100720","Caractéristiques du cristal","Produits, outils et matières","Matières, matériaux","","N"
"100725","Utilisation de fraise mécanique","Produits, outils et matières","Outils, machines, équipement matériel","","N"
"100726","Techniques de lithographie","Techniques professionnelles","Techniques manuelles, artisanales, industrielles","","N"
"100727","Xylographie","Domaines d'expertise","Expertises scientifiques","","N"
"100734","Caractéristiques des brins végétaux","Produits, outils et matières","Matières, matériaux","","N"
"100735","Caractéristiques des lianes végétales (rotin, clématite...)","Produits, outils et matières","Matières, matériaux","","N"
"100737","Techniques de cintrage","Techniques professionnelles","Techniques manuelles, artisanales, industrielles","","N"
"100738","Techniques de tressage","Techniques professionnelles","Techniques manuelles, artisanales, industrielles","","N"
"100739","Techniques de nouage","Techniques professionnelles","Techniques manuelles, artisanales, industrielles","","N"
"100740","Techniques de tissage","Normes et procédés","Méthodes, procédés, procédures","","N"
"100741","Techniques de piqûre machine","Techniques professionnelles","Techniques manuelles, artisanales, industrielles","","N"
"100742","Techniques de cannage","Techniques professionnelles","Techniques manuelles, artisanales, industrielles","","N"
"100743","Techniques de formage à chaud","Techniques professionnelles","Techniques manuelles, artisanales, industrielles","","N"
"100744","Techniques de formage à froid","Techniques professionnelles","Techniques manuelles, artisanales, industrielles","","N"
"100746","Techniques de pliage","Techniques professionnelles","Techniques manuelles, artisanales, industrielles","","N"
"100753","Couture manuelle","Techniques professionnelles","Techniques manuelles, artisanales, industrielles","","N"
"100761","Utilisation de scie stationnaire","Produits, outils et matières","Outils, machines, équipement matériel","","N"
"100762","Utilisation de chantourneuse","Produits, outils et matières","Outils, machines, équipement matériel","","N"
"100763","Utilisation de toupie","Produits, outils et matières","Outils, machines, équipement matériel","","N"
"100765","Mise en bain de cuve","Normes et procédés","Méthodes, procédés, procédures","","N"
"100772","Utilisation de massicot","Produits, outils et matières","Outils, machines, équipement matériel","","N"
"100773","Techniques de rognage","Techniques professionnelles","Techniques manuelles, artisanales, industrielles","","N"
"100775","Utilisation de presse hydraulique","Produits, outils et matières","Outils, machines, équipement matériel","","N"
"100776","Histoire du livre","Domaines d'expertise","Arts et culture","","N"
"100777","Techniques de démontage/remontage de livres","Techniques professionnelles","Techniques manuelles, artisanales, industrielles","","N"
"100778","Techniques de couture de documents papier","Techniques professionnelles","Techniques manuelles, artisanales, industrielles","","N"
"100788","Caractéristiques du papier reliure","Produits, outils et matières","Matières, matériaux","","N"
"100789","Techniques de sertissage d'élément de décor","Techniques professionnelles","Techniques manuelles, artisanales, industrielles","","N"
"100790","Techniques de dorure au film","Techniques professionnelles","Techniques manuelles, artisanales, industrielles","","N"
"100791","Techniques de dorure au balancier","Techniques professionnelles","Techniques manuelles, artisanales, industrielles","","N"
"100799","Histoire de la musique","Domaines d'expertise","Arts et culture","","N"
"100800","Techniques de collage","Techniques professionnelles","Techniques manuelles, artisanales, industrielles","","N"
"100812","Percussions","Produits, outils et matières","Instruments de musique","","N"
"100814","Techniques de montage de cordes","Techniques professionnelles","Techniques manuelles, artisanales, industrielles","","N"
"100816","Techniques de tension de cordes d'instruments","Techniques professionnelles","Techniques manuelles, artisanales, industrielles","","N"
"100817","Techniques d'alésage","Techniques professionnelles","Techniques manuelles, artisanales, industrielles","","N"
"100818","Techniques de fraisage sur métal","Techniques professionnelles","Techniques manuelles, artisanales, industrielles","","N"
"100819","Techniques de finition et de polissage","Techniques professionnelles","Techniques manuelles, artisanales, industrielles","","N"
"100820","Caractéristiques des cuirs et peaux","Produits, outils et matières","Matières, matériaux","","N"
"100822","Techniques d'usinage","Techniques professionnelles","Techniques manuelles, artisanales, industrielles","","N"
"100825","Techniques de fonderie","Techniques professionnelles","Techniques manuelles, artisanales, industrielles","","N"
"100827","Électroacoustique","Domaines d'expertise","Expertises techniques","","N"
"100836","Techniques de ciselures travail en percée","Techniques professionnelles","Techniques manuelles, artisanales, industrielles","","N"
"100837","Techniques de décors en filet, fleurons","Techniques professionnelles","Techniques manuelles, artisanales, industrielles","","N"
"100842","Organologie","Domaines d'expertise","Arts et culture","","N"
"100854","Techniques de mesure et traçage","Techniques professionnelles","Techniques manuelles, artisanales, industrielles","","N"
"100865","Utilisation de machines à façonner les clés","Produits, outils et matières","Outils, machines, équipement matériel","","N"
"100871","Caractéristiques des métaux précieux","Produits, outils et matières","Matières, matériaux","","N"
"100890","Techniques de guillochage","Techniques professionnelles","Techniques manuelles, artisanales, industrielles","","N"
"100904","Lecture de dessins techniques","Domaines d'expertise","Expertises techniques","","N"
"100905","Caractéristiques et propriétés du verre","Produits, outils et matières","Matières, matériaux","","N"
"100906","Principes de l'ergonomie au travail","Domaines d'expertise","Expertises techniques","","N"
"100907","Techniques de transformation du verre à froid","Techniques professionnelles","Techniques manuelles, artisanales, industrielles","","N"
"100908","Techniques de transformation du verre à chaud","Techniques professionnelles","Techniques manuelles, artisanales, industrielles","","N"
"100921","Techniques de marbrage","Techniques professionnelles","Techniques manuelles, artisanales, industrielles","","N"
"100922","Techniques de maillochage","Techniques professionnelles","Techniques manuelles, artisanales, industrielles","","N"
"100925","Techniques de coupe","Techniques professionnelles","Techniques manuelles, artisanales, industrielles","","N"
"100926","Techniques de perçage","Techniques professionnelles","Techniques manuelles, artisanales, industrielles","","N"
"100927","Techniques de sciage manuel","Techniques professionnelles","Techniques manuelles, artisanales, industrielles","","N"
"100928","Techniques de soudure de verre","Techniques professionnelles","Techniques manuelles, artisanales, industrielles","","N"
"100930","Compassage de verre","Techniques professionnelles","Techniques manuelles, artisanales, industrielles","","N"
"100931","Bouchardage de verre","Techniques professionnelles","Techniques manuelles, artisanales, industrielles","","N"
"100950","Caractéristiques des oxydes","Produits, outils et matières","Matières, matériaux","","N"
"100958","Techniques de sertissage","Techniques professionnelles","Techniques manuelles, artisanales, industrielles","","N"
"100959","Techniques de référencement du vitrail","Techniques professionnelles","Techniques manuelles, artisanales, industrielles","","N"
"100960","Électricité haute tension","Domaines d'expertise","Expertises techniques","","N"
"100961","Procédés d'étanchéité","Normes et procédés","Méthodes, procédés, procédures","","N"
"100962","Histoire de l'art du verre","Domaines d'expertise","Arts et culture","","N"
"100971","Utilisation d'une binoculaire","Produits, outils et matières","Outils, machines, équipement matériel","","N"
"100972","Caractéristiques des alliages de métaux précieux","Produits, outils et matières","Matières, matériaux","","N"
"100973","Calcul de titrage et d'alliage","Normes et procédés","Méthodes, procédés, procédures","","N"
"100974","Gemmologie","Domaines d'expertise","Expertises scientifiques","","N"
"100983","Caractéristiques de matières d'origine végétale (ambre, jais)","Produits, outils et matières","Matières, matériaux","","N"
"100984","Types de maille en bijouterie","Produits, outils et matières","Produits finis, services","","N"
"101000","Perçage de perles","Techniques professionnelles","Techniques manuelles, artisanales, industrielles","","N"
"101005","Utilisation de machines à dorer/à brunir","Produits, outils et matières","Outils, machines, équipement matériel","","N"
"101006","Utilisation de polisseuse mécanique","Produits, outils et matières","Outils, machines, équipement matériel","","N"
"101012","Glyptique","Domaines d'expertise","Arts et culture","","N"
"101020","Techniques de taille de diamant","Techniques professionnelles","Techniques manuelles, artisanales, industrielles","","N"
"101021","Techniques de taille de pierre précieuse","Techniques professionnelles","Techniques manuelles, artisanales, industrielles","","N"
"101028","Techniques d'ajustage","Techniques professionnelles","Techniques manuelles, artisanales, industrielles","","N"
"101029","Utilisation de systèmes de surveillance électronique","Produits, outils et matières","Outils, machines, équipement matériel","","N"
"101031","Micromécanique","Domaines d'expertise","Expertises scientifiques","","N"
"101032","Méthodes de classement et de montage de pièces micromécaniques","Normes et procédés","Méthodes, procédés, procédures","","N"
"101035","Mouvements horlogers mécaniques","Produits, outils et matières","Outils, machines, équipement matériel","","N"
"101036","Mouvements horlogers électroniques","Produits, outils et matières","Outils, machines, équipement matériel","","N"
"101037","Chronomètres","Produits, outils et matières","Objets d'art","","N"
"101038","Horloges","Produits, outils et matières","Objets d'art","","N"
"101040","Montres (pile, bracelet, …)","Produits, outils et matières","Produits finis, services","","N"
"101041","Pendules","Produits, outils et matières","Outils, machines, équipement matériel","","N"
"101042","Réveils","Produits, outils et matières","Produits finis, services","","N"
"101047","Techniques de chassage","Techniques professionnelles","Techniques manuelles, artisanales, industrielles","","N"
"101049","Caractéristiques des alliages de métaux","Produits, outils et matières","Matières, matériaux","","N"
"101055","Histoire de l'horlogerie","Domaines d'expertise","Arts et culture","","N"
"101064","Zoologie","Domaines d'expertise","Expertises scientifiques","","N"
"101065","Chimie","Domaines d'expertise","Expertises scientifiques","","N"
"101066","Techniques de tannage","Techniques professionnelles","Techniques manuelles, artisanales, industrielles","","N"
"101067","Techniques de picklage","Techniques professionnelles","Techniques manuelles, artisanales, industrielles","","N"
"101072","Caractéristiques des postures animales","Domaines d'expertise","Expertises techniques","","N"
"101073","Procédures de décontamination","Normes et procédés","Méthodes, procédés, procédures","","N"
"101085","Techniques de taxidermie souple","Techniques professionnelles","Techniques manuelles, artisanales, industrielles","","N"
"101086","Anatomie humaine","Domaines d'expertise","Expertises médicales et paramédicales","","N"
"101097","Techniques de gradation","Techniques professionnelles","Techniques manuelles, artisanales, industrielles","","O"
"101098","Techniques de coupe de textile, cuir","Techniques professionnelles","Techniques manuelles, artisanales, industrielles","","N"
"101100","Procédures d'essayage","Normes et procédés","Méthodes, procédés, procédures","","N"
"101101","Techniques d'élaboration de maquette","Techniques professionnelles","Autres techniques professionnelles","","N"
"101103","Chapeaux enfants","Produits, outils et matières","Mode, textile et accessoires","","N"
"101104","Chapeaux femmes","Produits, outils et matières","Mode, textile et accessoires","","N"
"101105","Chapeaux hommes","Produits, outils et matières","Mode, textile et accessoires","","N"
"101108","Histoire de la mode et des costumes","Domaines d'expertise","Arts et culture","","N"
"101115","Utilisation de marotte","Produits, outils et matières","Outils, machines, équipement matériel","","N"
"101117","Utilisation de conformateur","Produits, outils et matières","Outils, machines, équipement matériel","","N"
"101119","Caractéristiques des tissus et matières textiles","Produits, outils et matières","Mode, textile et accessoires","","N"
"101120","Techniques de coloration végétale","Techniques professionnelles","Techniques manuelles, artisanales, industrielles","","N"
"101121","Techniques de plumasserie","Techniques professionnelles","Techniques manuelles, artisanales, industrielles","","N"
"101122","Techniques de broderie","Techniques professionnelles","Techniques manuelles, artisanales, industrielles","","N"
"101123","Techniques de plissage","Techniques professionnelles","Techniques manuelles, artisanales, industrielles","","N"
"101133","Caractéristiques des matériaux souples","Produits, outils et matières","Matières, matériaux","","N"
"101134","Techniques de prise de mesures (habillement)","Techniques professionnelles","Techniques manuelles, artisanales, industrielles","","N"
"101135","Techniques d'assemblage « rembordé »","Techniques professionnelles","Techniques manuelles, artisanales, industrielles","","N"
"101136","Techniques d'assemblage « sellier »","Techniques professionnelles","Techniques manuelles, artisanales, industrielles","","N"
"101139","Caractéristiques des articles de petite maroquinerie","Produits, outils et matières","Mode, textile et accessoires","","N"
"101146","Caractéristiques des articles de ganterie","Produits, outils et matières","Mode, textile et accessoires","","N"
"101147","Utilisation de machines à bois","Produits, outils et matières","Outils, machines, équipement matériel","","N"
"101148","Utilisation de machine à triple entraînement","Produits, outils et matières","Outils, machines, équipement matériel","","N"
"101149","Utilisation de machine à coudre le cuir","Produits, outils et matières","Outils, machines, équipement matériel","","N"
"101150","Types de morphologie","Domaines d'expertise","Expertises techniques","","N"
"101154","Techniques de rembordage","Techniques professionnelles","Techniques manuelles, artisanales, industrielles","","N"
"101159","Techniques de garnissage","Techniques professionnelles","Techniques manuelles, artisanales, industrielles","","N"
"101160","Techniques de gainage","Techniques professionnelles","Techniques manuelles, artisanales, industrielles","","N"
"101161","Techniques de dorure","Techniques professionnelles","Techniques manuelles, artisanales, industrielles","","N"
"101162","Techniques de broderie main","Techniques professionnelles","Techniques manuelles, artisanales, industrielles","","N"
"101170","Calcul de métrage","Normes et procédés","Méthodes, procédés, procédures","","N"
"101171","Utilisation de machine à coudre","Produits, outils et matières","Outils, machines, équipement matériel","","N"
