"code_sect_activite","libelle_sect_activite","definition_sect_activite"
"88","Commerce et distribution","Découvrez les métiers du secteur du commerce et distribution où la satisfaction client est au cœur de chaque interaction.

Accessible à des niveaux de diplôme divers, le secteur du commerce et de la distribution propose des opportunité allant du responsable de magasin au chef de rayon, en passant par le représentant commercial, et responsable e-commerce.
Explorez des métiers qui vous permettront de mettre en valeur vos compétences relationnelles et contribuez au succès des entreprises."

"94","Communication et marketing",""
"82","Culture et patrimoine",""
"97","Édition","Découvrez les opportunités de l'édition où les mots inspirent et informent.

Au cœur de la transmission de l'information, ce secteur offre une variété d'opportunités professionnelles dans les médias, le journalisme, les relations publiques et la publicité. Des reporters sur le terrain aux rédacteurs en chef en passant par les traducteurs, éditeurs et les correcteurs, chaque métier contribue à captiver les lecteurs.
Découvrez les métiers du journalisme et de l'édition qui vous invitent à exprimer votre passion de l'écriture."

"108","Énergie",""
"112","Enseignement et formation","Explorez les métiers de l'enseignement et la formation où la connaissance est le fondement de chaque réussite.

Ce secteur regroupe des métiers qui transmettent le savoir, développent les compétences et accompagnent les individus tout au long de leur vie. De l'orientation scolaire à la formation professionnelle, en passant par l'enseignement général ou technique et l'éducation artistique, chaque profession contribue au développement éducatif.
Explorez les métiers de l'enseignement et de la formation pour inspirer, guider et éduquer les générations futures."

"80","Environnement",""
"91","Finance, banque et assurance","Explorez les opportunités de la finance, de la banque et de l'assurance, où la sécurité financière et l'innovation se rencontrent.

La finance, la banque et l'assurance comptent parmi les premiers employeurs privés en France. Ce secteur est en constante évolution, façonnées par les progrès technologiques et les exigences réglementaires. De la gestion des investissements à la planification financière personnelle, en passant par les services bancaires et les polices d'assurance, ce secteur offre une gamme diversifiée d'opportunités professionnelles aux salaires attractifs."

"103","Gestion administrative et ressources humaines","Conjuguez développement et organisation avec les métiers de la gestion administrative et des ressources humaines.

Le secteur de la gestion administrative et des ressources humaines joue un rôle vital dans le bon fonctionnement des organisations, en assurant la gestion efficace des tâches administratives et le bien-être des employés. De la gestion des dossiers et des processus administratifs à la planification stratégique des ressources humaines et au développement du personnel, ces domaines offrent une multitude de possibilités professionnelles enrichissantes.
Explorez les métiers de la gestion administrative et des ressources humaines pour des carrières centrées sur l'efficacité organisationnelle et le développement humain."

"102","Hôtellerie et restauration","Découvrez les opportunités de l'hôtellerie et de la restauration, où l'accueil chaleureux et la gastronomie permettent de créer des expériences inoubliables.

Accueillir et  servir les clients, répondre à leurs besoins et garantir leur confort, les métiers de l'hôtellerie et de la restauration demandent un sens du service aiguisé, de la mobilité et une bonne condition physique, et offre des opportunités et des perspectives très intéressantes.
De la direction de structure touristique à la cuisine, en passant par la conciergerie et le service, le secteur de l'hôtellerie et de la restaurant est en tension et permet des cadres d'exercice très divers."

"92","Immobilier",""
"83","Industrie - Alimentaire",""
"107","Industrie - Bois",""
"106","Industrie - Chimie",""
"104","Industrie - Électronique",""
"100","Industrie - Métallurgie",""
"89","Industrie - Papier et imprimerie","Découvrez les métiers qui participent à la création, à la production et distribution de produits imprimés.

Indispensable pour répondre aux besoins d'information et de communication, le secteur de l'imprimerie et du papier s'adapte aux évolutions technologiques avec l'ambition d'une imprimerie durable. L'industrie de l'imprimerie regroupe trois grands secteurs : la prépresse, l'imprimerie labeur et la finition (façonnage et reliure).
Explorer les métiers de l'imprimerie et du papier pour des carrières qui offrent des perspectives de reprise d'entreprise."

"90","Industrie - Textile et mode","Tissez votre avenir avec les métiers de l'industrie textile et de la mode.

L'industrie textile offre de vastes applications au delà de l’habillement, elle porte des innovation dans l'aéronautique, la santé, le sport ou l'automobile par exemple.  Accessible du CAP aux écoles d’ingénieurs spécialisées en textile, il existe de nombreuses métiers passionnants dans la mode comme dans l'industrie :  blanchisserie industrielle, coupe et montage de vêtements, stylisme ou réalisation d'articles en cuir."

"84","Industries",""
"96","Informatique et télécommunication","Découvrez les métiers de la technologie qui transforment notre façon de vivre et de travailler.

Au cœur de la révolution numérique, le secteur informatique, internet et télécommunication offre une multitude d'opportunités professionnelles passionnantes que ce soit dans l'intelligence artificielle, la data, la cybersécurité ou encore la réalité immersive. De la conception de logiciels innovants à la gestion des réseaux de communication, en passant par le développement de solutions technologiques, chaque métier contribue à façonner notre avenir et celui des entreprises."

"113","Logistique et transport","Découvrez les opportunités du secteur logistique et transport où la coordination rythme l'économie.

En plus d’être incontournable et transverse à tous les domaines d’activité, ce secteur en pleine croissance offre des conditions d’emploi particulièrement attractives et recrute de nombreux profils de différents niveaux. En France, il existe des opportunités d’emploi partout sur le territoire et il est possible de travailler en entrepôt, au cœur du transport routier, du transport fluvial ou du transport ferroviaire.
Explorez les métiers de la logistique et du transport pour des possibilités de carrières variées."

"81","Maintenance, entretien et nettoyage","Découvrez les métiers de la maintenance, de l'entretien et du nettoyage, où qualité et fiabilité sont les maîtres-mots.

Les métiers du secteur maintenance, entretien et nettoyage jouent un rôle essentiel dans de nombreux domaines d'activité en assurant le maintien du fonctionnement des machines et moyens de transport ou encore la propreté des espaces de vie et de travail. Des techniciens de maintenance aux agents d'entretien en passant par les spécialistes du nettoyage industriel, il existe des opportunités de carrière sur tout le territoire. Ces métiers contribuent à assurer la qualité du matériel des espaces privés ou public et participent à prévenir les risques pour les organisations."

"105","Recherche",""
"85","Santé","Découvrez les métiers qui donnent du sens à la vie.

Le secteur de la santé regroupe les métiers du paramédical et du médical, accessibles avec des formations de niveau bac jusqu'à bac + 5 et plus. Que vous souhaitiez exercer dans une structure public ou en libéral, les voies sont nombreuses et mènent aux métiers de soignants, spécialistes de la rééducation, de l'appareillage, de l'assistance médicale ou de la recherche.
Certaines régions font même face à une pénurie de professionnels, alors n'attendez plus pour découvrir les métiers qui vous permettront de prendre soin des autres."

"86","Service à la personne",""
"111","Service public, défense et sécurité","Découvrez les opportunités du secteur public, défense et sécurité où l'engagement envers les citoyens et leur protection sont au cœur de chaque action.

Indispensable dans la vie quotidienne des citoyens, les métiers du service public, de la sécurité et de la défense offrent de très nombreuses opportunités sur tout le territoire.
Que vous souhaitiez servir votre pays en tant que fonctionnaire, policier, militaire ou secouriste, chaque métier contribue à garantir la sécurité et la stabilité de notre nation.
Explorez les métiers du service public, de la défense et de la sécurité pour des carrières au service des autres."

"109","Social",""
"93","Sport, animation et loisir","Découvrez des métiers qui vous permettront de vivre votre passion au quotidien.

Les métiers du sport, de l'animation et des loisirs ont un impact social important. Ils permettent de développer des compétences et des valeurs au cœur des enjeux de cohésion sociale et d'inclusion.
Que vous préfériez travailler en intérieur ou en extérieur, au sein d’une entreprise, d’une collectivité ou d’une association, ce secteur offre une grande diversité de carrières et de contextes de travail."

"101","Tourisme",""
