"code_secteur_naf","libelle_secteur_naf","code_ogr_rome","code_rome","libelle_rome"
"10","Industries alimentaires","489181","H1308","Animateur / Animatrice en Hygiène Sécurité Environnement (HSE)"
"10","Industries alimentaires","230","H1502","Responsable qualité en industrie"
"10","Industries alimentaires","231","H1503","Technicien / Technicienne de laboratoire en industrie"
"10","Industries alimentaires","233","H1505","Nez"
"10","Industries alimentaires","488278","H1508","Assureur / Assureuse qualité industrie"
"10","Industries alimentaires","488336","H1515","Auditeur / Auditrice qualité en industrie"
"10","Industries alimentaires","488344","H1518","Responsable assurance qualité en industrie"
"10","Industries alimentaires","488353","H1520","Ingénieur / Ingénieure assurance qualité en industrie"
"10","Industries alimentaires","235","H2101","Ouvrier / Ouvrière d'abattoir"
"10","Industries alimentaires","236","H2102","Conducteur / Conductrice de ligne en industrie alimentaire"
"10","Industries alimentaires","403959","H2103","Opérateur / Opératrice de transformation des viandes"
"10","Industries alimentaires","488711","H2104","Fromager industriel / Fromagère industrielle"
"10","Industries alimentaires","265","H2504","Chef / Cheffe d'équipe en industrie"
"10","Industries alimentaires","488286","H2506","Chef / Cheffe de production en industrie agroalimentaire"
"10","Industries alimentaires","297","H3301","Conducteur / Conductrice de ligne de conditionnement"
"10","Industries alimentaires","298","H3302","Agent / Agente de conditionnement"
"10","Industries alimentaires","299","H3303","Cuisinier / Cuisinière en industrie chimique"
"10","Industries alimentaires","488913","H3304","Chef / Cheffe de ligne conditionnement"
"10","Industries alimentaires","489083","H3305","Conducteur / Conductrice de machines de conditionnement"
"10","Industries alimentaires","500","N1101","Cariste"
"10","Industries alimentaires","502","N1103","Préparateur / Préparatrice de commandes"
"10","Industries alimentaires","489051","N1113","Préparateur / Préparatrice au drive"
"11","Fabrication de boissons","27","A1413","Brasseur / Brasseuse de bière"
"11","Fabrication de boissons","488334","A1422","Caviste de chai"
"11","Fabrication de boissons","488346","A1423","¼nologue"
"11","Fabrication de boissons","236","H2102","Conducteur / Conductrice de ligne en industrie alimentaire"
"11","Fabrication de boissons","488286","H2506","Chef / Cheffe de production en industrie agroalimentaire"
"11","Fabrication de boissons","297","H3301","Conducteur / Conductrice de ligne de conditionnement"
"11","Fabrication de boissons","488913","H3304","Chef / Cheffe de ligne conditionnement"
"11","Fabrication de boissons","489083","H3305","Conducteur / Conductrice de machines de conditionnement"
"13","Fabrication de textiles","51","B1803","Couturier / Couturière"
"13","Fabrication de textiles","52","B1804","Brodeur / Brodeuse"
"13","Fabrication de textiles","53","B1805","Styliste"
"13","Fabrication de textiles","54","B1806","Tapissier / Tapissière d'ameublement"
"13","Fabrication de textiles","212","H1201","Coloriste en industrie"
"13","Fabrication de textiles","247","H2401","Opérateur / Opératrice de fabrication industrie des cuirs, peaux et matériaux associés"
"13","Fabrication de textiles","248","H2402","Couturier industriel / Couturière industrielle de l'habillement"
"13","Fabrication de textiles","249","H2403","Conducteur / Conductrice de machines de fabrication de produits textiles"
"13","Fabrication de textiles","250","H2404","Conducteur / Conductrice de machine de production et transformation des fils"
"13","Fabrication de textiles","251","H2405","Conducteur / Conductrice de ligne de production de textiles non-tissés"
"13","Fabrication de textiles","252","H2406","Conducteur / Conductrice de machines de traitement textile"
"13","Fabrication de textiles","253","H2407","Opérateur / Opératrice sur machine de transformation et de finition des cuirs et peaux"
"13","Fabrication de textiles","254","H2408","Imprimeur / Imprimeuse textile"
"13","Fabrication de textiles","255","H2409","Coupeur / Coupeuse en industrie textile et matériaux souples"
"13","Fabrication de textiles","256","H2410","Opérateur / Opératrice de finition en industrie du textile"
"13","Fabrication de textiles","258","H2412","Patronnier / Patronnière"
"13","Fabrication de textiles","259","H2413","Opérateur / Opératrice de préparation en industrie textile"
"13","Fabrication de textiles","260","H2414","Opérateur / Opératrice de préparation ou de finition sur articles de cuirs, peaux ou matériaux associés"
"13","Fabrication de textiles","261","H2415","Contrôleur / Contrôleuse en industrie textile"
"13","Fabrication de textiles","488630","H2416","Gainier industriel / Gainière industrielle"
"13","Fabrication de textiles","488714","H2417","Chef / Cheffe de rame textile"
"13","Fabrication de textiles","488720","H2418","Opérateur / Opératrice sur machine de production et transformation des fils"
"13","Fabrication de textiles","488740","H2419","Passementier / Passementière en industrie textile"
"13","Fabrication de textiles","488760","H2420","Repasseur / Repasseuse en industrie textile et de l'habillement"
"13","Fabrication de textiles","488761","H2421","Opérateur / Opératrice de fabrication de produits textiles"
"13","Fabrication de textiles","488780","H2422","Tapissier industriel / Tapissière industrielle"
"13","Fabrication de textiles","488856","H2423","Mécanicien / Mécanicienne industrie textile et de l'habillement"
"13","Fabrication de textiles","488875","H2424","Chef(fe) de ligne chromo en industrie textile"
"13","Fabrication de textiles","488901","H2425","Fileur / Fileuse en industrie textile"
"13","Fabrication de textiles","488932","H2426","Chef(fe) d'équipe en atelier de coupe"
"13","Fabrication de textiles","489060","H2427","Effileur / Effileuse en dentelles"
"13","Fabrication de textiles","266","H2505","Chef / Cheffe d'équipe et d'atelier textile"
"13","Fabrication de textiles","416","K2201","Blanchisseur industriel / Blanchisseuse industrielle"
"14","Industrie de l'habillement","49","B1801","Chapelier / Chapelière"
"14","Industrie de l'habillement","51","B1803","Couturier / Couturière"
"14","Industrie de l'habillement","52","B1804","Brodeur / Brodeuse"
"14","Industrie de l'habillement","53","B1805","Styliste"
"14","Industrie de l'habillement","93","D1207","Retoucheur / Retoucheuse en habillement"
"14","Industrie de l'habillement","100","D1214","Vendeur / Vendeuse en prêt-à-porter"
"14","Industrie de l'habillement","216","H1205","Modéliste en industrie"
"14","Industrie de l'habillement","247","H2401","Opérateur / Opératrice de fabrication industrie des cuirs, peaux et matériaux associés"
"14","Industrie de l'habillement","248","H2402","Couturier industriel / Couturière industrielle de l'habillement"
"14","Industrie de l'habillement","249","H2403","Conducteur / Conductrice de machines de fabrication de produits textiles"
"14","Industrie de l'habillement","250","H2404","Conducteur / Conductrice de machine de production et transformation des fils"
"14","Industrie de l'habillement","251","H2405","Conducteur / Conductrice de ligne de production de textiles non-tissés"
"14","Industrie de l'habillement","252","H2406","Conducteur / Conductrice de machines de traitement textile"
"14","Industrie de l'habillement","253","H2407","Opérateur / Opératrice sur machine de transformation et de finition des cuirs et peaux"
"14","Industrie de l'habillement","255","H2409","Coupeur / Coupeuse en industrie textile et matériaux souples"
"14","Industrie de l'habillement","256","H2410","Opérateur / Opératrice de finition en industrie du textile"
"14","Industrie de l'habillement","257","H2411","Monteur / Monteuse prototypiste cuir et matériaux souples"
"14","Industrie de l'habillement","258","H2412","Patronnier / Patronnière"
"14","Industrie de l'habillement","260","H2414","Opérateur / Opératrice de préparation ou de finition sur articles de cuirs, peaux ou matériaux associés"
"14","Industrie de l'habillement","261","H2415","Contrôleur / Contrôleuse en industrie textile"
"14","Industrie de l'habillement","488630","H2416","Gainier industriel / Gainière industrielle"
"14","Industrie de l'habillement","488740","H2419","Passementier / Passementière en industrie textile"
"14","Industrie de l'habillement","488760","H2420","Repasseur / Repasseuse en industrie textile et de l'habillement"
"14","Industrie de l'habillement","488761","H2421","Opérateur / Opératrice de fabrication de produits textiles"
"14","Industrie de l'habillement","488856","H2423","Mécanicien / Mécanicienne industrie textile et de l'habillement"
"14","Industrie de l'habillement","488875","H2424","Chef(fe) de ligne chromo en industrie textile"
"14","Industrie de l'habillement","488901","H2425","Fileur / Fileuse en industrie textile"
"14","Industrie de l'habillement","488932","H2426","Chef(fe) d'équipe en atelier de coupe"
"14","Industrie de l'habillement","489060","H2427","Effileur / Effileuse en dentelles"
"14","Industrie de l'habillement","266","H2505","Chef / Cheffe d'équipe et d'atelier textile"
"15","Industrie du cuir et de la chaussure","50","B1802","Maroquinier / Maroquinière"
"15","Industrie du cuir et de la chaussure","53","B1805","Styliste"
"15","Industrie du cuir et de la chaussure","92","D1206","Cordonnier / Cordonnière"
"15","Industrie du cuir et de la chaussure","212","H1201","Coloriste en industrie"
"15","Industrie du cuir et de la chaussure","247","H2401","Opérateur / Opératrice de fabrication industrie des cuirs, peaux et matériaux associés"
"15","Industrie du cuir et de la chaussure","253","H2407","Opérateur / Opératrice sur machine de transformation et de finition des cuirs et peaux"
"15","Industrie du cuir et de la chaussure","257","H2411","Monteur / Monteuse prototypiste cuir et matériaux souples"
"15","Industrie du cuir et de la chaussure","260","H2414","Opérateur / Opératrice de préparation ou de finition sur articles de cuirs, peaux ou matériaux associés"
"15","Industrie du cuir et de la chaussure","261","H2415","Contrôleur / Contrôleuse en industrie textile"
"15","Industrie du cuir et de la chaussure","488630","H2416","Gainier industriel / Gainière industrielle"
"15","Industrie du cuir et de la chaussure","488780","H2422","Tapissier industriel / Tapissière industrielle"
"15","Industrie du cuir et de la chaussure","488932","H2426","Chef(fe) d'équipe en atelier de coupe"
"16","Travail du bois et fabrication d'articles en bois et en liege, a l'exception des meubles, fabrication d'articles en vannerie et sparterie","41","B1401","Vannier / Vannière"
"16","Travail du bois et fabrication d'articles en bois et en liege, a l'exception des meubles, fabrication d'articles en vannerie et sparterie","158","F1501","Poseur / Poseuse de charpentes ou constructions bois"
"16","Travail du bois et fabrication d'articles en bois et en liege, a l'exception des meubles, fabrication d'articles en vannerie et sparterie","160","F1503","Charpentier / Charpentière"
"16","Travail du bois et fabrication d'articles en bois et en liege, a l'exception des meubles, fabrication d'articles en vannerie et sparterie","488871","F1504","Charpentier / Charpentière de marine"
"16","Travail du bois et fabrication d'articles en bois et en liege, a l'exception des meubles, fabrication d'articles en vannerie et sparterie","237","H2201","Assembleur / Assembleuse d'ouvrages en bois"
"16","Travail du bois et fabrication d'articles en bois et en liege, a l'exception des meubles, fabrication d'articles en vannerie et sparterie","238","H2202","Conducteur / Conductrice de machines à bois"
"16","Travail du bois et fabrication d'articles en bois et en liege, a l'exception des meubles, fabrication d'articles en vannerie et sparterie","239","H2203","Machiniste en fabrications de panneaux de bois"
"16","Travail du bois et fabrication d'articles en bois et en liege, a l'exception des meubles, fabrication d'articles en vannerie et sparterie","240","H2204","Contremaître / Contremaîtresse en menuiserie"
"16","Travail du bois et fabrication d'articles en bois et en liege, a l'exception des meubles, fabrication d'articles en vannerie et sparterie","241","H2205","Ouvrier / Ouvrière de scierie"
"16","Travail du bois et fabrication d'articles en bois et en liege, a l'exception des meubles, fabrication d'articles en vannerie et sparterie","242","H2206","Menuisier / Menuisière"
"16","Travail du bois et fabrication d'articles en bois et en liege, a l'exception des meubles, fabrication d'articles en vannerie et sparterie","243","H2207","Ébéniste"
"16","Travail du bois et fabrication d'articles en bois et en liege, a l'exception des meubles, fabrication d'articles en vannerie et sparterie","244","H2208","Sculpteur / Sculptrice sur bois"
"16","Travail du bois et fabrication d'articles en bois et en liege, a l'exception des meubles, fabrication d'articles en vannerie et sparterie","245","H2209","Dessinateur / Dessinatrice de structures en bois"
"16","Travail du bois et fabrication d'articles en bois et en liege, a l'exception des meubles, fabrication d'articles en vannerie et sparterie","489038","H2210","Tonnelier / Tonnelière"
"16","Travail du bois et fabrication d'articles en bois et en liege, a l'exception des meubles, fabrication d'articles en vannerie et sparterie","488887","H2211","Opérateur / Opératrice de sciage bois"
"16","Travail du bois et fabrication d'articles en bois et en liege, a l'exception des meubles, fabrication d'articles en vannerie et sparterie","424","K2305","Agent / Agente de désinsectisation"
"17","Industrie du papier et du carton","132","E1301","Conducteur / Conductrice de machines d'impression"
"17","Industrie du papier et du carton","133","E1302","Conducteur / Conductrice de machines de façonnage routage"
"17","Industrie du papier et du carton","292","H3101","Conducteur / Conductrice de machines à papier ou carton"
"17","Industrie du papier et du carton","293","H3102","Conducteur / Conductrice d'installation de pâte à papier"
"17","Industrie du papier et du carton","298","H3302","Agent / Agente de conditionnement"
"18","Imprimerie et reproduction d'enregistrements","42","B1402","Relieur / Relieuse d'art"
"18","Imprimerie et reproduction d'enregistrements","489064","B1403","Restaurateur / Restauratrice de livres anciens"
"18","Imprimerie et reproduction d'enregistrements","129","E1203","Développeur / Développeuse de photographies"
"18","Imprimerie et reproduction d'enregistrements","132","E1301","Conducteur / Conductrice de machines d'impression"
"18","Imprimerie et reproduction d'enregistrements","133","E1302","Conducteur / Conductrice de machines de façonnage routage"
"18","Imprimerie et reproduction d'enregistrements","134","E1303","Responsable d'atelier d'impression"
"18","Imprimerie et reproduction d'enregistrements","135","E1304","Agent / Agente de façonnage et routage"
"18","Imprimerie et reproduction d'enregistrements","136","E1305","Correcteur / Correctrice"
"18","Imprimerie et reproduction d'enregistrements","137","E1306","Opérateur / Opératrice de prépresse"
"18","Imprimerie et reproduction d'enregistrements","138","E1307","Reprographe"
"18","Imprimerie et reproduction d'enregistrements","139","E1308","Technicien / Technicienne des industries graphiques"
"18","Imprimerie et reproduction d'enregistrements","212","H1201","Coloriste en industrie"
"18","Imprimerie et reproduction d'enregistrements","254","H2408","Imprimeur / Imprimeuse textile"
"18","Imprimerie et reproduction d'enregistrements","307","I1201","Afficheur / Afficheuse"
"19","Cokefaction et raffinage","246","H2301","Conducteur / Conductrice de ligne en industrie chimique"
"2","Sylviculture et exploitation forestiere","403950","A1102","Conducteur / Conductrice d'engins d'exploitation forestière"
"2","Sylviculture et exploitation forestiere","7","A1201","Bûcheron / Bûcheronne"
"2","Sylviculture et exploitation forestiere","11","A1205","Sylviculteur / Sylvicultrice"
"2","Sylviculture et exploitation forestiere","488755","A1209","Élagueur / Élagueuse"
"2","Sylviculture et exploitation forestiere","488859","A1210","Ouvrier forestier / Ouvrière forestière"
"2","Sylviculture et exploitation forestiere","489058","A1212","Chef / Cheffe d'équipe de travaux forestiers"
"2","Sylviculture et exploitation forestiere","489160","A1213","Conducteur / Conductrice de travaux forestiers"
"2","Sylviculture et exploitation forestiere","12","A1301","Technicien / Technicienne de culture maraîchère"
"2","Sylviculture et exploitation forestiere","488621","F1119","Pédologue"
"2","Sylviculture et exploitation forestiere","488584","G1103","Directeur / Directrice de parc régional"
"2","Sylviculture et exploitation forestiere","241","H2205","Ouvrier / Ouvrière de scierie"
"2","Sylviculture et exploitation forestiere","488887","H2211","Opérateur / Opératrice de sciage bois"
"2","Sylviculture et exploitation forestiere","327","I1603","Mécanicien-réparateur / Mécanicienne-réparatrice en matériels agricoles"
"20","Industrie chimique","488589","F1116","Ingénieur / Ingénieure démantèlement nucléaire"
"20","Industrie chimique","488719","F1122","Ingénieur / Ingénieure Chantier nucléaire"
"20","Industrie chimique","211","H1102","Ingénieur / Ingénieure d'affaires en industrie"
"20","Industrie chimique","488302","H1103","Responsable d'affaires en industrie"
"20","Industrie chimique","212","H1201","Coloriste en industrie"
"20","Industrie chimique","488322","H1220","Responsable formulation"
"20","Industrie chimique","223","H1302","Responsable Hygiène Sécurité Environnement (HSE) en industrie"
"20","Industrie chimique","488285","H1304","Responsable environnement-hygiène-sécurité en industrie"
"20","Industrie chimique","488619","H1306","Ingénieur / Ingénieure sûreté en industrie nucléaire"
"20","Industrie chimique","488751","H1307","Responsable de la conformité industrielle"
"20","Industrie chimique","489183","H1309","Technicien / Technicienne en radioprotection"
"20","Industrie chimique","231","H1503","Technicien / Technicienne de laboratoire en industrie"
"20","Industrie chimique","233","H1505","Nez"
"20","Industrie chimique","488309","H1511","Chargé / Chargée de validation-qualification"
"20","Industrie chimique","488312","H1512","Directeur / Directrice de zone"
"20","Industrie chimique","246","H2301","Conducteur / Conductrice de ligne en industrie chimique"
"20","Industrie chimique","294","H3201","Plasturgiste"
"20","Industrie chimique","299","H3303","Cuisinier / Cuisinière en industrie chimique"
"20","Industrie chimique","488274","M1708","Directeur / Directrice de l'accès au marché"
"21","Industrie pharmaceutique","488290","D1412","Délégué médical hospitalier / Déléguée médicale hospitalière"
"21","Industrie pharmaceutique","211","H1102","Ingénieur / Ingénieure d'affaires en industrie"
"21","Industrie pharmaceutique","488302","H1103","Responsable d'affaires en industrie"
"21","Industrie pharmaceutique","488321","H1104","Directeur / Directrice des affaires médicales pharmaceutiques"
"21","Industrie pharmaceutique","488339","H1105","Chef de projets santé / Cheffe de projets santé"
"21","Industrie pharmaceutique","488271","H1212","Ingénieur / Ingénieure brevet en industrie"
"21","Industrie pharmaceutique","488291","H1213","Responsable du développement clinique"
"21","Industrie pharmaceutique","488308","H1216","Responsable des études épidémiologiques"
"21","Industrie pharmaceutique","488313","H1217","Technicien / Technicienne formulation"
"21","Industrie pharmaceutique","488319","H1219","Responsable opérationnel / Responsable opérationnelle des études cliniques"
"21","Industrie pharmaceutique","488322","H1220","Responsable formulation"
"21","Industrie pharmaceutique","488335","H1221","Responsable des partenariats de recherche"
"21","Industrie pharmaceutique","488347","H1222","Responsable médical / Responsable médicale des études cliniques"
"21","Industrie pharmaceutique","488351","H1223","Coordinateur / Coordinatrice d'études cliniques"
"21","Industrie pharmaceutique","223","H1302","Responsable Hygiène Sécurité Environnement (HSE) en industrie"
"21","Industrie pharmaceutique","224","H1303","Technicien / Technicienne en Hygiène, Sécurité, Environnement industriel (HSE)"
"21","Industrie pharmaceutique","488751","H1307","Responsable de la conformité industrielle"
"21","Industrie pharmaceutique","230","H1502","Responsable qualité en industrie"
"21","Industrie pharmaceutique","231","H1503","Technicien / Technicienne de laboratoire en industrie"
"21","Industrie pharmaceutique","488278","H1508","Assureur / Assureuse qualité industrie"
"21","Industrie pharmaceutique","488284","H1509","Responsable des affaires règlementaires"
"21","Industrie pharmaceutique","488309","H1511","Chargé / Chargée de validation-qualification"
"21","Industrie pharmaceutique","488312","H1512","Directeur / Directrice de zone"
"21","Industrie pharmaceutique","488314","H1513","Responsable de pharmacovigilance"
"21","Industrie pharmaceutique","488330","H1514","Chargé / Chargée de pharmacovigilance"
"21","Industrie pharmaceutique","488336","H1515","Auditeur / Auditrice qualité en industrie"
"21","Industrie pharmaceutique","488341","H1516","Expert / Experte métrologue"
"21","Industrie pharmaceutique","488343","H1517","Responsable de laboratoire de contrôle en industrie pharmaceutique"
"21","Industrie pharmaceutique","488344","H1518","Responsable assurance qualité en industrie"
"21","Industrie pharmaceutique","488352","H1519","Responsable éthique-déontologie-conformité"
"21","Industrie pharmaceutique","488353","H1520","Ingénieur / Ingénieure assurance qualité en industrie"
"21","Industrie pharmaceutique","488565","H1521","Technicien / Technicienne de validation-qualification"
"21","Industrie pharmaceutique","246","H2301","Conducteur / Conductrice de ligne en industrie chimique"
"21","Industrie pharmaceutique","488276","H2302","Conducteur / Conductrice de procédé de fabrication"
"21","Industrie pharmaceutique","488318","H2303","Opérateur / Opératrice de fabrication en industrie pharmaceutique"
"21","Industrie pharmaceutique","337","J1202","Pharmacien / Pharmacienne"
"21","Industrie pharmaceutique","488272","K2404","Chargé / Chargée de recherche"
"21","Industrie pharmaceutique","488337","M1408","Responsable des études pharmaco-économiques"
"21","Industrie pharmaceutique","488274","M1708","Directeur / Directrice de l'accès au marché"
"21","Industrie pharmaceutique","488307","M1710","Responsable régional / Responsable régionale des relations scientifiques médicales"
"21","Industrie pharmaceutique","488340","M1712","Directeur / Directrice de l'information promotionnelle du médicament"
"21","Industrie pharmaceutique","488569","M1714","Chargé / Chargée de l'information promotionnelle du médicament"
"22","Fabrication de produits en caoutchouc et en plastique","488276","H2302","Conducteur / Conductrice de procédé de fabrication"
"22","Fabrication de produits en caoutchouc et en plastique","294","H3201","Plasturgiste"
"22","Fabrication de produits en caoutchouc et en plastique","295","H3202","Monteur régleur / Monteuse régleuse en plasturgie"
"22","Fabrication de produits en caoutchouc et en plastique","296","H3203","Mouleur-stratifieur / Mouleuse-stratifieuse"
"22","Fabrication de produits en caoutchouc et en plastique","298","H3302","Agent / Agente de conditionnement"
"23","Fabrication d'autres produits mineraux non metalliques","488793","B1102","Mosaïste d'art"
"23","Fabrication d'autres produits mineraux non metalliques","489159","B1103","Sculpteur / Sculptrice ornemaniste sur pierre"
"23","Fabrication d'autres produits mineraux non metalliques","157","F1402","Extracteur / Extractrice de roches"
"23","Fabrication d'autres produits mineraux non metalliques","172","F1612","Tailleur / Tailleuse de pierre"
"23","Fabrication d'autres produits mineraux non metalliques","489189","F1625","Monteur / Monteuse en agencement"
"23","Fabrication d'autres produits mineraux non metalliques","179","F1706","Armaturier / Armaturière de l'industrie du béton"
"23","Fabrication d'autres produits mineraux non metalliques","273","H2801","Agent / Agente de fabrication du verre"
"23","Fabrication d'autres produits mineraux non metalliques","274","H2802","Opérateur / Opératrice de fabrication en matériaux de construction"
"23","Fabrication d'autres produits mineraux non metalliques","275","H2803","Opérateur / Opératrice de production en céramique"
"23","Fabrication d'autres produits mineraux non metalliques","276","H2804","Pilote de centrale de béton"
"23","Fabrication d'autres produits mineraux non metalliques","277","H2805","Technicien / Technicienne de l'industrie du verre"
"23","Fabrication d'autres produits mineraux non metalliques","285","H2908","Modeleur / Modeleuse"
"23","Fabrication d'autres produits mineraux non metalliques","302","H3403","Opérateur / Opératrice de traitement thermique"
"24","Metallurgie","44","B1601","Métallier / Métallière d'art"
"24","Metallurgie","488632","H1522","Technicien / Technicienne en contrôles et essais non destructifs (CND END)"
"24","Metallurgie","264","H2503","Responsable d'îlot de production"
"24","Metallurgie","281","H2904","Forgeron industriel / Forgeronne industrielle"
"24","Metallurgie","284","H2907","Fondeur / Fondeuse en métallurgie"
"24","Metallurgie","287","H2910","Mouleur noyauteur / Mouleuse noyauteuse"
"24","Metallurgie","291","H2914","Tuyauteur / Tuyauteuse"
"24","Metallurgie","300","H3401","Opérateur / Opératrice de traitement d'abrasion de surface"
"25","Fabrication de produits metalliques, a l'exception des machines et des equipements","40","B1303","Graveur / Graveuse d'art"
"25","Fabrication de produits metalliques, a l'exception des machines et des equipements","44","B1601","Métallier / Métallière d'art"
"25","Fabrication de produits metalliques, a l'exception des machines et des equipements","46","B1603","Opérateur / Opératrice en orfèvrerie et bijouterie"
"25","Fabrication de produits metalliques, a l'exception des machines et des equipements","404957","B1605","Bijoutier / Bijoutière"
"25","Fabrication de produits metalliques, a l'exception des machines et des equipements","404968","B1606","Joaillier / Joaillière"
"25","Fabrication de produits metalliques, a l'exception des machines et des equipements","404976","B1609","Responsable d'atelier en bijouterie ou joaillerie"
"25","Fabrication de produits metalliques, a l'exception des machines et des equipements","404977","B1610","Sertisseur / Sertisseuse en bijouterie ou joaillerie"
"25","Fabrication de produits metalliques, a l'exception des machines et des equipements","488744","B1613","Orfèvre"
"25","Fabrication de produits metalliques, a l'exception des machines et des equipements","489215","B1614","Monteur / Monteuse en orfèvrerie"
"25","Fabrication de produits metalliques, a l'exception des machines et des equipements","490200","B1615","Orfèvre tourneur repousseur / Orfèvre tourneuse repousseuse"
"25","Fabrication de produits metalliques, a l'exception des machines et des equipements","159","F1502","Échafaudeur / Échafaudeuse"
"25","Fabrication de produits metalliques, a l'exception des machines et des equipements","167","F1607","Menuisier / Menuisière aluminium"
"25","Fabrication de produits metalliques, a l'exception des machines et des equipements","403073","F1614","Poseur / Poseuse en fermetures de bâtiment"
"25","Fabrication de produits metalliques, a l'exception des machines et des equipements","403081","F1616","Poseur / Poseuse de menuiseries extérieures"
"25","Fabrication de produits metalliques, a l'exception des machines et des equipements","403082","F1617","Poseur / Poseuse de véranda"
"25","Fabrication de produits metalliques, a l'exception des machines et des equipements","214","H1203","Dessinateur-projeteur / Dessinatrice-projeteuse en mécanique"
"25","Fabrication de produits metalliques, a l'exception des machines et des equipements","227","H1403","Gestionnaire de flux de production"
"25","Fabrication de produits metalliques, a l'exception des machines et des equipements","228","H1404","Technicien / Technicienne méthodes"
"25","Fabrication de produits metalliques, a l'exception des machines et des equipements","234","H1506","Contrôleur / Contrôleuse technique en métallurgie"
"25","Fabrication de produits metalliques, a l'exception des machines et des equipements","488278","H1508","Assureur / Assureuse qualité industrie"
