"code_ogr","libelle","code_rubrique"
"100957","Assembler des plaques et panneaux de verre","1"
"100964","Détecter les défauts, nuances, alliage des matériaux et déterminer les contraintes de la pièce","1"
"101017","Tailler des diamants","1"
"101018","Tailler des pierres fines et ornementales","1"
"101019","Tailler des rubis, saphirs, émeraudes","1"
"101024","Remplacer les pièces défectueuses par échange standard (mouvement quartz, aiguilles, cadrans, ...) et assembler les éléments","1"
"101045","Réaliser des opérations de micromécanique sur des pièces d'horlogerie","1"
"101061","Habiller le mannequin (positionnement et tension de la peau, couture, ...)","1"
"101090","Définir avec le client les caractéristiques de l'article à réaliser selon ses souhaits, ses besoins et l'informer sur les conditions de réalisation","1"
"101102","Concevoir des modèles pour une cérémonie","1"
"101107","Réaliser un patron","1"
"101114","Réaliser des chapeaux","1"
"101126","Réaliser les opérations de coupe de matériaux (positionnement de gabarit, ...) manuellement ou à l'aide d'une machine","1"
"101127","Assembler (collage, couture) les pièces de l'article (tige, soufflet) manuellement ou à l'aide d'une machine","1"
"101129","Vérifier la conformité des pièces/articles façonnés (aspect de teinte, régularité des coutures, ...) et procéder aux actions correctives","1"
"101152","Réaliser des opérations de parage","1"
"101163","Prendre les mensurations d'un client","1"
"101166","Ajuster les pièces du vêtement (manches, col) par essayage","1"
"101178","Réaliser des vêtements","1"
"101181","Réaliser des articles de lingerie/balnéaire/corseterie à l'unité ou en petites séries","1"
"101199","Sélectionner les matériaux (tissus, fils, ornements, ...), coloris et outils appropriés à l'ouvrage","1"
"101202","Terminer l'ouvrage du métier, réaliser les opérations de finition (tonte, apprêt, repassage) et d'emballage","1"
"101227","Sélectionner les matières et fournitures (fil, tissu, fermoirs, ...) de la gamme de produits","1"
"101256","Concevoir une gamme, une collection de matières premières","1"
"101273","Déterminer les conditions de réfection ou de réalisation de l'article (siège, tenture, ...) ou d'un ensemble d'ameublement selon l'état, le style de mobilier, le délai, le coût des matériaux","1"
"101275","Mesurer les murs, fenêtres, carcasses et déterminer les quantités de matériaux et accessoires nécessaires","1"
"101286","Réaliser des décors","1"
"101287","Réaliser des garnitures de siège","1"
"101288","Réaliser des matelas","1"
"101299","Poser des stores","1"
"101311","Assister les collaborateurs au niveau commercial et technique","1"
"101430","Constater les dommages, dégâts, pertes sur les lieux du sinistre et auprès des assurés","1"
"101431","Recueillir les preuves, témoignages et rapports de police auprès des parties impliquées dans le sinistre (victimes, témoins, services de secours, ...)","1"
"101563","Arrêter les termes d'un contrat","1"
"101596","Gérer des portefeuilles d'actifs financiers","1"
"101615","Réguler la vente d'actifs financiers sur le marché boursier","1"
"101622","Procéder à l'enregistrement, au tri, à l'affranchissement du courrier","1"
"101750","Confectionner des confiseries","1"
"101901","Accueillir le client et l'installer","1"
"101902","Identifier la coiffure attendue et conseiller le client","1"
"101903","Réaliser le diagnostic capillaire, les préparations du lavage et le shampoing","1"
"101905","Procéder à la mise en forme, au coiffage, à la fixation des cheveux (bouclage, brushing, ...)","1"
"101906","Présenter au client sa coiffure sous différents angles pour recueillir son avis","1"
"101916","Réaliser des prestations de coiffure","1"
"101917","Réaliser des soins de manucure, pédicure","1"
"101918","Réaliser une coupe ou une coiffure","1"
"101924","Accueillir la personne, identifier les soins appropriés et lui en présenter les modalités (résultats attendus, durée de traitement)","1"
"101925","Installer une personne, un client","1"
"101926","Pratiquer des soins d'hydrothérapie","1"
"101927","Apporter une assistance médicale","1"
"101928","Informer les personnels de santé des réactions de la personne (rougeur, essoufflement, ...)","1"
"101934","Pratiquer des soins d'hydrothérapie par techniques d'aspersion ou de baignade","1"
"101936","Pratiquer des soins d'hydrothérapie par gargarisme, inhalation, irrigation, pulvérisation, nébulisation","1"
"101937","Pratiquer des soins d'hydrothérapie par techniques manuelles drainantes, relaxantes, raffermissantes, stimulantes","1"
"101946","Effectuer l'entretien de premier niveau","1"
"101952","Réaliser la location de matériel de plage","1"
"101962","Trier les articles et déterminer les modes de nettoyage (à l'eau, à sec, avec détachage, ...)","1"
"101967","Restituer les articles au client après contrôle du nettoyage, repassage","1"
"101974","Repasser du textile (vêtements, linge)","1"
"101979","Réaliser des montages délicats","1"
"101980","Réaliser la pose de fermeture à glissière","1"
"101981","Réaliser des opérations de rempliage (ourlet, couture surpiquée...) sur des articles textiles","1"
"101988","Déterminer les réparations ou modifications de l'article","1"
"101992","Vérifier la stabilité, l'aplomb, ... et procéder aux ajustements nécessaires","1"
"102006","Réaliser des faire-part et cartes de visite","1"
"102016","Identifier les retouches, réparations à réaliser sur le vêtement et renseigner le client sur les conditions","1"
"102019","Insérer les éléments de serrage (élastique, ...), renfort et protection (coudière, ...) sur l'article","1"
"102020","Assembler et fixer les différents éléments (doublure, col, manche, ...) par couture","1"
"102021","Vérifier la symétrie et le bien-aller du vêtement sur mannequin ou lors de l'essayage","1"
"102026","Retoucher ou faire des modifications","1"
"102030","Retoucher ou faire des modifications sur tissu","1"
"102039","Retoucher ou faire des modifications sur un vêtement","1"
"102043","Réaliser des accessoires (sacs, chapeaux, ...) à partir d'un patron, d'un modèle","1"
"102044","Réaliser des costumes à thème à partir d'un patron, d'un modèle","1"
"102046","Confectionner un article textile","1"
"102047","Réaliser des vêtements de cérémonie à partir d'un patron, d'un modèle","1"
"102048","Concevoir des protocoles de soins esthétiques","1"
"102049","Réaliser des soins mortuaires","1"
"102050","Réaliser des soins du visage et du corps","1"
"102054","Réaliser des soins d'épilation","1"
"102056","Réaliser des soins de perçage corporel, piercing","1"
"102057","Réaliser des soins de pose de faux-cils, bijoux de peau, tatouages temporaires","1"
"102061","Réaliser des tatouages permanents","1"
"102062","Pratiquer des techniques manuelles drainantes, relaxantes, raffermissantes et stimulantes","1"
"102084","Réaliser une composition florale","1"
"102142","Réaliser les réglages ou la maintenance de premier niveau d'instruments de musique","1"
"102143","Réaliser les réglages ou la maintenance de premier niveau d'équipements de sport","1"
"102175","Réaliser la maintenance de premier niveau","1"
"102318","Établir un plan de tournée de prospection (ciblage, interlocuteurs, préparation de dossiers techniques)","1"
"102357","Adapter le plan d'implantation des articles","1"
"102445","Analyser des dysfonctionnements et des difficultés techniques de connexion au site ou d'utilisation des services par les internautes","1"
"102454","Recueillir des informations préalables à l'écriture lors d'enquête, de recherche documentaire, d'interview, ...","1"
"102463","Créer des illustrations visuelles ou sonores en utilisant l'animation d'images, de textes, de dessins ou de photos","1"
"102471","Rédiger des correspondances pour le compte de particuliers ou d'entreprises","1"
"102472","Rédiger des documents administratifs pour le compte de particuliers ou d'entreprises","1"
"102476","Adapter et préparer un écrit","1"
"102486","Écrire des chansons, livrets d'opéra, comédies musicales","1"
"102489","Écrire des légendes d'iconographies, livrets d'exposition (peintures, photographies, ...)","1"
"102518","Réaliser une revue de presse","1"
"102536","Concevoir un projet de communication multicanal","1"
"102539","Concevoir des projets en jeux vidéo","1"
"102556","Collecter et préparer les textes, illustrations","1"
"102557","Concevoir la maquette, la mise en page, l'intégration des textes et le traitement des images","1"
"102558","Contrôler les textes, les épreuves et la structure des livres, des ouvrages, de revues","1"
"102559","Valider les textes, le Bon à Tirer","1"
"102560","Suivre des projets d'édition avec les intervenants, auteurs, illustrateurs, imprimeurs, correcteurs","1"
"102562","Rédiger une note de lecture","1"
"102612","Actualiser des bases de données","1"
"102638","Développer des films et des photographies","1"
"102639","Réaliser un album photos","1"
"102643","Réaliser un montage photo","1"
"102672","Réaliser les contrôles chimiques des bains de développement des négatifs et les contrôles sensitométriques de l'émulsion","1"
"102675","Transférer le film cinématographique sur vidéo à partir du télécinéma","1"
"102679","Contrôler les rushes, les synchroniser avec la bande son et surveiller leur projection","1"
"102694","Renseigner les supports de suivi d'intervention","1"
"102704","Réceptionner et contrôler les colis de films (état général des copies, quantités, format son, ...)","1"
"102707","Vérifier le fonctionnement des appareils de projection, la qualité du son et de l'image et effectuer les réglages des projecteurs et des chaînes sonores","1"
"102719","Installer des bobines sur un dispositif de déroulement à plateaux sans fin","1"
"102720","Installer des bobines sur un dispositif de déroulement horizontal","1"
"102721","Installer des bobines sur un dispositif de déroulement vertical","1"
"102727","Animer les éléments d'une image (restitution des mouvements image par image, définition des trajectoires)","1"
"102748","Réaliser un panneau d'exposition, présentoir, stand","1"
"102794","Sélectionner, doser et mélanger les encres selon la teinte attendue et les supports à imprimer","1"
"102795","Monter la forme imprimante sur la machine, régler les paramètres d'impression (calage, encrage, pression des cylindres, ...) et charger les supports d'impression et les consommables","1"
"102796","Réaliser une première impression avant roulage et procéder aux ajustements (densité, calage des couleurs, contours, ...)","1"
"102797","Présenter une épreuve pour obtention du bon à rouler, lancer et surveiller l'impression","1"
"102826","Identifier les différentes opérations de façonnage ou de routage selon les critères de fabrication (type de papier, format, ...) ou les instructions","1"
"102828","Régler les paramètres des machines et équipements","1"
"102856","Couper des produits imprimés","1"
"102860","Réaliser une technique de découpe (presse à platine) sur un produit imprimé","1"
"102861","Réaliser une technique sur un produit imprimé","1"
"102866","Réaliser une technique de vernissage sur un produit imprimé","1"
"102887","Superviser des phases d'impression","1"
"102901","Réaliser des opérations manuelles de façonnage/routage","1"
"102902","Assurer la conformité des produits finis","1"
"102903","Retirer des produits non conformes","1"
"102908","Réaliser des opérations manuelles de façonnage/routage par mise sous pli (formats particuliers)","1"
"102910","Réaliser manuellement l'affranchissement pour l'expédition","1"
"102911","Réaliser manuellement la mise sous tube pour l'expédition","1"
"102912","Réaliser l'étiquetage de produits","1"
"102913","Réaliser manuellement, pour l'expédition, le tri par destination (par produit, client, ...)","1"
"102914","Repérer les annotations de l'éditeur et de l'auteur pour intervenir sur les documents","1"
"102915","Corriger les erreurs d'orthographe, de grammaire, de syntaxe et de typographie","1"
"102916","Vérifier la fiabilité des dates, données scientifiques, historiques, citations et apporter les corrections nécessaires","1"
"102918","Corriger et annoter le document d'indications nécessaires à sa mise en page","1"
"102919","Soumettre le document corrigé au commanditaire pour approbation","1"
"102920","Vérifier la conformité des corrections portées au document avant impression","1"
"102946","Saisir le texte ou réaliser la maquette à partir du manuscrit, pré-projet, brouillon","1"
"102948","Traiter textes et images en fonction des modes et des supports d'impression","1"
"102961","Préparer des documents pour une impression","1"
"102972","Préparer des supports et matériaux (sciage, perforage, pliage, chanfreinage, polissage, ...)","1"
"102973","Découper des films adhésifs","1"
"102974","Réaliser la finition de lettres prédécoupées au plotter","1"
"102976","Réaliser la pose de visuels","1"
"102977","Réaliser la reproduction de maquettes à partir d'un moniteur vidéo ou d'un vidéoprojecteur","1"
"102980","Préparer les documents à reproduire, sélectionner les machines d'impression et les paramétrer","1"
"102981","Surveiller le fonctionnement de la machine d'impression (arrivée papier, bourrage, impression, ...)","1"
"102983","Façonner les documents dupliqués manuellement ou à l'aide d'une machine","1"
"102996","Présenter au client les améliorations envisageables (grammage papier, mise en page, ...) après avoir vérifié la faisabilité de la commande","1"
"103003","Contrôler la conformité de l'épreuve par rapport à la commande","1"
"103011","Suivre et analyser les résultats d'une campagne de communication","1"
"103023","Réaliser le bilan des actions de communication","1"
"103084","Aménager un espace de spectacle (plateau cinéma, scène de théâtre, ...)","1"
"103085","Concevoir l'aménagement d'espaces","1"
"103086","Concevoir l'aménagement d'espaces de cuisines et de salles de bains","1"
"103087","Concevoir l'aménagement de scènes de spectacles (théâtre, plateaux télévision, cinéma)","1"
"103097","Réaliser les prélèvements d'échantillons, les mesures d'eau, d'air, de poussières et analyser les résultats","1"
"103098","Repérer et identifier des risques sanitaires et environnementaux","1"
"103107","Procéder à un diagnostic amiante","1"
"103109","Procéder à un diagnostic gaz","1"
"103111","Procéder à un diagnostic plomb","1"
"103122","Réaliser ou modifier les schémas, les épures, les plans des ouvrages, des installations, des aménagements selon les normes et les évolutions de contraintes","1"
"103150","Participer l'élaboration de dossiers administratifs (permis de construire par exemple)","1"
"103153","Définir et coordonner la mise en oeuvre de méthodes et procédés de recherche, prospections, études de sols, sous-sols","1"
"103154","Déterminer et faire évoluer les moyens techniques et outils d'exploration des sols, sous-sols","1"
"103157","Interpréter les relevés géologiques de sols, sous-sols, roches et étudier les caractéristiques (étendues, compositions, géométrie, ...)","1"
"103196","Sélectionner les moyens et les méthodes à mettre en oeuvre et planifier les opérations de chantier","1"
"103199","Superviser et contrôler l'exécution d'études, de documents et de plans de détails confiés aux bureaux d'études","1"
"103219","Réaliser un relevé d'intérieur et de façade d'un ouvrage existant et déterminer le périmètre et la surface","1"
"103222","Réaliser des études/documents fonciers et établir ou modifier des plans d'architecture (segmentation des surfaces, remembrement, ...)","1"
"103308","Surveiller et contrôler le chargement des matériaux (répartition, poids, ...) par rapport aux spécificités de l'engin","1"
"103309","Manoeuvrer l'engin en fonction du terrain (nature du sol, dénivelé, risques électriques, ...)","1"
"103310","Taluter les sols ou décaper les talus et les accotements (végétation, ...) sur le lieu d'une tranchée prévue","1"
"103314","Redonner un aspect naturel au chantier terminé (remblais, surface, ...)","1"
"103346","Surveiller les paramètres de forage et de pompage et détecter les anomalies et dysfonctionnements (pression, vitesse, débit, ...)","1"
"103369","Abattre le front de taille par explosion ou par opérations mécaniques","1"
"103408","Réaliser l'isolation et l'étanchéité de la toiture, terrasse","1"
"103418","Réaliser un essai d'assemblage en atelier et ajuster (dimensions, ponçage ...) chaque pièce","1"
"103428","Réaliser des opérations de vernissage","1"
"103449","Réaliser des opérations d'étanchéité (calfatage, lattes de bois, application, masticage, ...) sur les bateaux","1"
"103450","Réaliser des opérations de mise en place et réglages d'équipements techniques de pont, de manoeuvre, de sécurité (mâts, gréement, appareil à gouverner, ...) sur les bateaux","1"
"103452","Réaliser des opérations de pose d'équipements techniques de réseaux sur les bateaux","1"
"103453","Réaliser des opérations de stratification de renforts et pose d'isolants sur les bateaux","1"
"103481","Réaliser des plafonds","1"
"103483","Réaliser des éléments courbes, cintrés","1"
"103495","Réaliser et poser des chemins de câbles et des conduits électriques en apparent ou en encastré","1"
"103514","Vérifier les pressions et températures, les échanges de chaleur, ... et ajuster les réglages","1"
"103515","Réaliser les saignées et les creusements divers","1"
"103531","Réaliser et fixer des huisseries, encadrements et montants","1"
"103547","Hisser, fixer et régler un câble et ses accessoires","1"
"103552","Rechercher l'origine des pannes et identifier les solutions de réparation","1"
"103564","Identifier la nature du support à enduire, à recouvrir et vérifier son état","1"
"103566","Préparer la peinture","1"
"103592","Réaliser l'étanchéité de l'ensemble support/châssis et poser les mousses de polyuréthane, joints, bandes adhésives, cornières, ...","1"
"103628","Identifier la nature des produits et enduits et en déterminer la quantité","1"
"103644","Repérer les particularités du montage de la toiture d'origine","1"
"103655","Poser des ardoises","1"
"103659","Poser des panneaux solaires","1"
"103668","Réparer ou modifier des éléments maçonnés","1"
"103711","Réaliser des opérations de montage à joints secs","1"
"103712","Réaliser des opérations de montage au mortier","1"
"103713","Réaliser des opérations de montage au sol, aux murs en intérieur","1"
"103715","Réaliser des opérations de montage en façade","1"
"103722","Concevoir des cheminées","1"
"103726","Concevoir des éléments de décor","1"
"103728","Concevoir des cadrans solaires","1"
"103731","Sécher les surfaces","1"
"103732","Réserver des ouvertures et éléments d'ouvrage prévus (exutoire de désenfumage, aération, ...)","1"
"103742","Réaliser la pose de réseaux de canalisations, fourreaux d'évacuation, branchements","1"
"103758","Remblayer l'excavation et compacter les tranchées","1"
"103760","Répandre les granulats, les gravillons ou les déblayer","1"
"103767","Terrasser et niveler la fondation","1"
"103771","Coffrer des ouvrages en béton","1"
"103775","Réaliser et lisser les joints","1"
"103780","Poser des tôles","1"
"103781","Poser des éléments de bardeau bitumé","1"
"103796","Réaliser la pose de bardeaux","1"
"103797","Réaliser la pose d'éléments de couverture","1"
"103807","Localiser les défaillances de canalisation et en identifier la nature","1"
"103816","Identifier la configuration et le dimensionnement d'un moule, le type d'armatures, le mode de coulage et de démoulage selon la pièce à fabriquer","1"
"103817","Préparer le matériel (coupe des fils et torons d'acier, ...) et la matière nécessaire à la réalisation du produit (précontraint, pièce béton)","1"
"103818","Positionner dans le moule ou le banc de précontrainte les aciers, armatures, inserts, réservations, ...","1"
"103819","Réaliser les éléments constitutifs d'un moule (sous ensemble métal, bois, pvc, armature) en vue du coulage du béton","1"
"103820","Couler le béton dans le moule ou le banc de précontrainte","1"
"103821","Décoffrer la pièce en béton et démonter le moule","1"
"103832","Réaliser des pièces de précontrainte au moyen de banc de précontrainte (pré-dalles, poutrelles, dalles alvéolées, pré-linteaux)","1"
"103833","Réaliser des pièces de précontrainte au moyen de moules (poutres droites, poutres I, I-pannes)","1"
"103841","Fournir des informations touristiques et locales aux clients","1"
"103866","Recueillir les informations sur la durée, le nombre de participants, les spécificités de la prestation d'accompagnement touristique","1"
"103888","Concevoir le programme des activités selon les spécificités du public","1"
"103889","Identifier les attentes du public et l'informer sur la ou les activités d'animation et les modalités d'organisation","1"
"103890","Concevoir une animation événementielle","1"
"103909","Informer les parents sur l'organisation de la structure et présenter le programme des activités aux enfants","1"
"103913","Observer le comportement, l'évolution de l'enfant et repérer d'éventuelles difficultés","1"
"103922","Encadrer des activités nécessitant une habilitation BAFA","1"
"103925","Informer le public sur la pratique de la discipline sportive et les modalités d'organisation des séances","1"
"103926","Évaluer le niveau de départ du pratiquant","1"
"103927","Adapter un parcours ou une séquence pédagogique selon le niveau et la progression des apprenants","1"
"103928","Présenter l'exercice aux pratiquants et apporter un appui technique","1"
"103929","Réaliser le suivi du matériel ou des équipements sportifs","1"
"103931","Réaliser le bilan du projet éducatif ou d'animation sportive et proposer des évolutions","1"
"103936","Coacher des sportifs amateurs","1"
"104010","Surveiller des bassins aquatiques ou un espace de baignade","1"
"104016","Contrôler le fonctionnement d'un dispositif de sécurité","1"
"104030","Vérifier le fonctionnement des équipements de jeux","1"
"104040","Animer des salles de machines à sous","1"
"104045","Collecter et analyser des informations sur les partenaires","1"
"104047","Concevoir un voyage à la carte","1"
"104050","Organiser la chaîne de transport national et international","1"
"104070","Sélectionner les produits touristiques selon la demande du client et lui en présenter les caractéristiques (centres d'intérêt, formalités, tarifs, ...)","1"
"104073","Établir les modalités de règlement d'un litige ou transmettre aux services juridiques, contentieux","1"
"104074","Collecter la documentation touristique et organiser l'affichage de l'espace de vente","1"
"104080","Établir des titres de transport pour des déplacements en avion","1"
"104090","Assurer un accueil téléphonique","1"
"104142","Superviser l'élaboration des menus du restaurant et vérifier leur composition, l'équilibre alimentaire et le prix de revient","1"
"104160","Changer les draps, refaire le lit (mise à blanc, recouche) et remplacer le linge de toilette","1"
"104163","Identifier et signaler les dysfonctionnements, les dégradations du mobilier et des équipements de la chambre","1"
"104174","Accueillir, orienter et renseigner un client","1"
"104175","Réaliser le service des petits-déjeuners en salle ou en chambre, selon l'établissement","1"
"104181","Traiter les demandes particulières d'installation","1"
"104183","Concevoir les menus, les cartes et définir les tarifs des plats","1"
"104188","Porter une appréciation gustative, olfactive ou visuelle","1"
"104207","Préparer les viandes et les poissons","1"
"104227","Préparer, assembler des plats simples","1"
"104230","Remettre la commande au client (service à l'assiette, emballage à emporter, plateau, ...)","1"
"104256","Confectionner des crêpes","1"
"104262","Réaliser la plonge","1"
"104263","Essuyer et ranger la vaisselle, la verrerie, les ustensiles de cuisine","1"
"104271","Préparer, assembler des desserts simples","1"
"104278","Conseiller et orienter les clients dans leurs démarches","1"
"104280","Superviser le service de la bagagerie, le stationnement des véhicules et organiser le transport des bagages","1"
"104292","Effectuer le suivi des réservations","1"
"104324","Prendre une commande client","1"
"104344","Concevoir la carte des vins et des boissons selon le type de cuisine, la situation géographique","1"
"104346","Préparer le vin sélectionné (mise en température, décantation, ...), choisir la verrerie adaptée et servir le client","1"
"104357","Conseiller les clients sur l'entretien nécessaire et les options de réparation","1"
"104359","Déterminer les solutions et les préconisations techniques et les communiquer aux clients","1"
"104384","Teindre des matériaux","1"
"104387","Contrôler les résultats de la teinture/coloration industrielle et apporter des ajustements","1"
"104405","Calculer et définir les puissances, grandeurs, contraintes physiques de composants, sous-ensembles, ensembles","1"
"104406","Étudier et concevoir les circuits imprimés, sous-ensembles ou ensembles","1"
"104407","Réaliser et faire évoluer les schémas, les plans de détails, de sous-ensembles ou d'ensembles","1"
"104419","Identifier la demande et réaliser les ébauches, schémas de pièces, systèmes, sous-ensembles ou ensembles","1"
"104420","Réaliser des relevés dimensionnels","1"
"104421","Étudier et concevoir des pièces, sous-ensembles ou ensembles","1"
"104423","Déterminer les spécifications et les cotations des pièces, sous-ensembles ou ensembles","1"
"104435","Dessiner des avant-projets (roughs, croquis) à partir du concept, des thèmes définis","1"
"104468","Réaliser un dessin artistique","1"
"104477","Adapter un patron/gabarit à partir du croquis","1"
"104480","Détecter les difficultés de montage, les non-conformités (esthétique, tomber de vêtement, bien-aller) et apporter des solutions techniques","1"
"104535","Concevoir les spécifications de l'installation automatisée en fonction du cahier des charges","1"
"104536","Réaliser l'analyse fonctionnelle de l'installation et la décliner en un programme d'automatisation","1"
"104537","Paramétrer un programme d'automatisation pour un automate programmable","1"
"104540","Vérifier le programme d'automatisation par une série de tests sur plate-forme d'essais, en atelier, sur site","1"
"104541","Effectuer les réglages de mise en service des dispositifs et instruments commandés (vérin, moteur, distributeur, transmetteurs, capteurs, régulateurs, ...)","1"
"104556","Sélectionner les composants électroniques, électriques à partir de bases de données, de nomenclatures fournisseurs","1"
"104557","Vérifier par simulation, tests, essais, calculs, les fonctionnalités et les caractéristiques du système électrique ou électronique","1"
"104580","Réaliser les mesures et les analyses, identifier des non-conformités et réaliser des ajustements techniques","1"
"104581","Relever les données et les consigner dans les cahiers de laboratoire, les bases de données, les registres, les comptes rendus","1"
"104582","Concevoir des consignes, procédures, cahiers des charges, rapports d'études à partir des résultats de tests et d'essais","1"
"104604","Réaliser les rapports de contrôles et de diagnostics d'anomalie ou de risque et les transmettre aux services production, maintenance, sécurité...","1"
"104605","Conseiller et prescrire des solutions techniques correctives, préventives ou d'amélioration des équipements","1"
"104702","Planifier et suivre la réalisation des mesures et analyses et interpréter les résultats","1"
"104704","Valider les résultats de mesures et d'analyses","1"
"104734","Préparer les produits et les appareils de mesures et d'analyses et contrôler leur conformité d'étalonnage et de fonctionnement","1"
"104751","Sélectionner le matériel de contrôle ou d'essais et vérifier sa conformité","1"
"104753","Analyser les mesures, diagnostiquer les causes de dysfonctionnement et effectuer les modifications de mise en conformité du produit","1"
"104765","Sélectionner les matières premières (arômes naturels, essences, produits de synthèse, ...) auprès de fournisseurs","1"
"104767","Vérifier les caractéristiques organoleptiques (successions de sensations, pyramide olfactive, équilibre, stabilité, ...) du produit final","1"
"104771","Mémoriser des odeurs","1"
"104854","Surveiller l'approvisionnement des machines, des installations et le flux des matières ou des produits","1"
"104871","Positionner préalablement les pièces, éléments, sous-ensembles (assises, montants, ...), après traçages (épures, emplacements, ...)","1"
"104872","Poser les composants d'assemblage et encoller les parties jointives","1"
"104886","Monter des fermettes","1"
