"code_rome","code_compo_bloc","libelle_type_texte","position_phrase","libelle_texte"
"A1203","4","acces_metier","2","Des Certificats d''aptitude à la conduite en sécurité (CACES) peuvent être demandées pour la conduite d''engins."
"A1203","4","acces_metier","3","Le permis de conduire peut également être nécessaire."
"A1204","3","definition","1","Effectue la surveillance de site (espaces naturels, protégés, ...) et veille à la sauvegarde du patrimoine naturel (réserve naturelle, forêts, littoral, ...) selon les directives institutionnelles, la réglementation environnementale (loi de protection du littoral, ...) et les règles de sécurité."
"A1204","3","definition","2","Peut sensibiliser différents publics à la protection de l''environnement, ou mettre en place la sécurisation du public."
"A1204","3","definition","3","Peut coordonner une équipe."
"A1204","4","acces_metier","1","Ce métier est accessible avec un CAP/BEP agricole en aménagement des espaces naturels."
"A1204","4","acces_metier","2","Un Brevet de Technicien Agricole en aménagement de l''espace, gestion de la faune sauvage ou un BTS Agricole en gestion et protection de la nature peut être demandé pour les postes de technicien cynégétique."
"A1204","4","acces_metier","3","Un diplôme de niveau Bac à Bac + 2 (BTS, DUT) dans les domaines de l''eau et de la protection de l''environnement peut être demandé pour les postes de technicien de rivière."
"A1204","4","acces_metier","4","Une bonne condition physique (acuité visuelle, ...) est requise."
"A1205","3","definition","1","Met en oeuvre les opérations sylvicoles sur des parcelles forestières (dépressage, éclaircies, plantation, élagage sylvicole, ...) selon les règles d''hygiène et de sécurité, les objectifs d''exploitation (commerciaux, qualitatifs, ...) et les normes environnementales."
"A1205","3","definition","2","Peut effectuer des travaux d''aménagement de la forêt et des voies forestières."
"A1205","3","definition","3","Peut coordonner une équipe ou diriger une exploitation forestière."
"A1205","4","acces_metier","1","Ce métier est accessible avec un CAP/BEP Agricole en travaux forestiers et sylviculture."
"A1205","4","acces_metier","2","Il est également accessible avec une expérience professionnelle dans le même secteur sans diplôme particulier."
"A1205","4","acces_metier","3","Un diplôme de niveau Bac (Bac Professionnel, Brevet de Technicien Agricole) à Bac+2 (BTS Agricole) en gestion et conduite de travaux forestiers peut être demandé pour les fonctions d''encadrement."
"A1205","4","acces_metier","4","Des vaccinations spécifiques (anti-rabique, ...) peuvent être requises."
"A1206","3","definition","1","Le Concepteur paysagiste conçoit des projets d''aménagements ou de réaménagement d''espaces extérieurs ruraux ou urbains en prenant compte des considérations esthétiques, environnementales et fonctionnelles."
"A1206","3","definition","2","Réalise des plans et des maquettes en 3D pour visualiser les projets avant leur exécution"
"A1206","3","definition","3","Choisit les plantes et matériaux adaptés à chaque projet en fonction du climat et du sol"
"A1206","3","definition","4","Supervise les travaux d''aménagement et coordonne les équipes sur le terrain"
"A1206","3","definition","5","Conseille les clients sur l''entretien des espaces verts et propose des solutions durables"
"A1206","4","acces_metier","1","Cet emploi est accessible avec un diplôme de niveau Bac+3 à Bac+5 en aménagement ou architecture du paysage."
"A1207","3","definition","1","Le Chef d''équipe d''entretien d''espaces naturels orchestre la préservation et la valorisation de nos espaces naturels en lien avec les autorités locales."
"A1207","3","definition","2","Supervise et coordonne les activités d''entretien des espaces naturels"
"A1207","3","definition","3","Planifie les activités et gère les ressources matérielles et humaines nécessaires"
"A1207","3","definition","4","Veille à l''application des règles de sécurité et des normes environnementales"
"A1207","3","definition","5","Forme les membres de l''équipe aux techniques d''entretien écologique"
"A1207","3","definition","6","Réalise des rapports sur l''état des sites et propose des améliorations"
"A1207","4","acces_metier","1","Cet emploi est accessible avec un diplôme de niveau Bac à Bac+2 dans le domaine de l''entretien d''espaces naturels ou de gestion des milieux naturels. Il est également accessible avec un niveau CAP et une expérience significative."
"A1207","4","acces_metier","2","Des Certificats d''Aptitude à la Conduite En Sécurité (CACES) peuvent être nécessaires pour la conduite de certains engins."
"A1208","3","definition","1","Le Jardinier paysagiste, entretient des jardins ou espaces verts, pour embellir l''environnement et créer une atmosphère fonctionnelle et accueillante."
"A1208","3","definition","2","Conçoit et aménage des jardins et des espaces verts selon les besoins du client et les contraintes du site"
"A1208","3","definition","3","Entretient les plantations, les pelouses et les équipements extérieurs"
"A1208","3","definition","4","Réalise des opérations de taille, de tonte, de désherbage et de traitement des plantes"
"A1208","3","definition","5","Installe les systèmes d''irrigation et veille à leur fonctionnement pour optimiser la consommation d''eau"
"A1208","3","definition","6","Peut participer à la création de décors pour des événements spéciaux"
"A1208","4","acces_metier","1","Cet emploi est accessible avec diplôme de niveau CAP à Bac en jardinage ou aménagement paysager et généralement une expérience dans l''entretien des espaces verts."
"A1208","4","acces_metier","2","Des Certificats d''aptitude à la conduite en sécurité (CACES) peuvent être demandées pour la conduite d''engins."
"A1209","3","definition","1","L''Élagueur, spécialiste de la taille et de l''entretien des arbres, prend soin de l''environnement et de la sécurité du public."
"A1209","3","definition","2","Taille les arbres et arbustes selon les besoins esthétiques ou sécuritaires"
"A1209","3","definition","3","Assure l''entretien et le soin des arbres pour préserver leur santé et leur croissance"
"A1209","3","definition","4","Utilise des techniques de grimpe pour accéder aux branches"
"A1209","3","definition","5","Gère les déchets végétaux issus de la taille et de l''élagage"
"A1209","4","acces_metier","1","Cet emploi est accessible avec un diplôme de niveau CAP à Bac dans le secteur de l''agriculture ou de l''aménagement paysager."
"A1209","4","acces_metier","2","Le certificat de spécialisation d''arboriste élagueur peut être requis."
"A1209","4","acces_metier","3","Des Certificats d''aptitude à la conduite en sécurité (CACES) peuvent être demandées pour la conduite d''engins ou l''utilisation de nacelles élévatrices."
"A1209","4","acces_metier","4","Ne pas avoir le vertige est indispensable pour le travail en grande hauteur."
"A1210","3","definition","1","L''ouvrier forestier, maillon essentiel de l''entretien de la forêt et de la préservation de notre environnement."
"A1210","3","definition","2","Participe à la plantation, à l''entretien et à la coupe des arbres et d''autres végétaux dans le respect des normes de qualité et des pratiques de reboisement durable"
"A1210","3","definition","3","Effectue des travaux de débroussaillage pour prévenir les risques d''incendies"
"A1210","3","definition","4","Entretient et effectue les réparations courantes sur les matériels, engins et / ou locaux"
"A1210","3","definition","5","Entretient les infrastructures et équipements en milieux naturels"
"A1210","3","definition","6","Peut être impliqué dans des activités de sensibilisation et d''éducation à l''environnement"
"A1210","4","acces_metier","1","Cet emploi est accessible sans qualification. Un diplôme de niveau CAP ou BEP à Bac pro agricole dans le domaine des travaux forestiers peut cependant en faciliter l''accès."
"A1211","3","definition","1","Le chef d''équipe paysagiste coordonne les équipes sur les chantiers d''entretien et d''aménagement d''espaces verts afin d''assurer la réussite des projets paysagers."
"A1211","3","definition","2","Organise les postes de travail et répartit les activités sur les chantiers d''aménagement ou d''entretien"
"A1211","3","definition","3","Sélectionne les plantes et les matériaux adaptés à chaque projet"
"A1211","3","definition","4","S''assure de la disponibilité du matériel et de l''approvisionnement des chantiers"
"A1211","3","definition","5","Sensibilise les clients ou les équipes sur la mise en place de solutions écologiques pour entretenir jardins et espaces verts"
"A1211","3","definition","6","Peut concevoir des aménagements paysagers selon les besoins des clients et les caractéristiques des sites"
"A1211","4","acces_metier","1","Cet emploi est accessible avec un diplôme de niveau CAP à Bac+2 dans le domaine de l''aménagement paysager et une expérience professionnelle dans le secteur."
"A1212","3","definition","1","Le Chef d''équipe de travaux forestiers, un rôle clé pour la qualité de la gestion des travaux forestiers et la préservation des espaces forestiers."
"A1212","3","definition","2","Supervise et coordonne les activités de l''équipe sur le terrain"
"A1212","3","definition","3","Contrôle la qualité des travaux réalisés et veille au respect du cahier des charges des chantiers  et des normes de sécurité"
"A1212","3","definition","4","Forme les membres de l''équipe aux techniques forestières et à l''utilisation du matériel"
"A1212","3","definition","5","Gère et entretient les ressources matérielles nécessaires aux travaux forestiers"
"A1212","3","definition","6","Peut participer à des projets de reforestation et de conservation"
"A1212","4","acces_metier","1","Cet emploi est accessible avec un diplôme de niveau Brevet Professionnel (BP) ou Bac dans le domaine des travaux forestiers ou d''un BTSA en gestion forestière."
"A1213","3","definition","1","Le conducteur de travaux forestiers orchestre la gestion des travaux forestiers, en alliant expertise technique et respect de l''environnement pour préserver et valoriser le patrimoine naturel."
"A1213","3","definition","2","Manage une équipe opérationnelle et met en œuvre des objectifs opérationnels"
"A1213","3","definition","3","Ouvre, suit et réceptionne un chantier"
"A1213","3","definition","4","Veille au respect des normes environnementales et de sécurité lors des interventions forestières"
"A1213","3","definition","5","Gère le budget et les ressources matérielles nécessaires aux projets (matériels, véhicules, locaux)"
"A1213","3","definition","6","Peut participer à des projets de recherche et de développement sur la gestion durable des forêts"
"A1213","4","acces_metier","1","Cet emploi est accessible avec des formations de niveau Bac+2 à Bac+5 en gestion forestière. Il est également accessible avec une expérience significative de chef d''équipe de travaux forestiers."
"A1301","3","definition","1","Conseille et assiste techniquement les professionnels de l''agriculture, de l''aquaculture, de la sylviculture ou de l''élevage selon les orientations institutionnelles (préservation du patrimoine naturel, ...), les projets d''aménagement du territoire (dispositif de gestion de l''eau,...) ou d''implantation d''exploitation agricole et d''élevage, et la réglementation environnementale."
"A1301","3","definition","2","Peut former et sensibiliser différents publics. Peut réaliser des prélèvements d''échantillons."
"A1301","3","definition","3","Peut coordonner une équipe."
"A1301","4","acces_metier","1","Ce métier est accessible à partir d''un BTS Agricole en agriculture, génie rural, environnement, ..."
"A1301","4","acces_metier","2","Un Master (diplôme d''ingénieur, Master recherche en droit rural, école de commerce, ...) est requis pour les postes de conseillers."
"A1301","4","acces_metier","3","Son accès dans les collectivités territoriales et organismes publics s''effectue sur concours."
"A1302","3","definition","1","Réalise les opérations de contrôle ou de diagnostic (surveillance, prélèvements, relevés de mesures) sur les lieux de production (élevages, abattoirs, ...) et de stockage (chambre froide, silo, ...) selon les règles d''hygiène, de sécurité et la réglementation sanitaire et environnementale."
"A1302","3","definition","2","Peut procéder à des contrôles de conformité et verbaliser les contrevenants à la réglementation."
"A1302","3","definition","3","Peut coordonner une équipe."
"A1302","4","acces_metier","1","Ce métier est accessible avec un Bac professionnel en Bio-industries de transformation ou avec un BTS Agricole en industrie alimentaire."
"A1302","4","acces_metier","2","Son accès aux Instances Vétérinaires s''effectue sur concours avec un Bac."
"A1303","3","definition","1","Conduit des études ou des projets scientifiques et technico-économiques (étude de filière, aménagement et gestion de l''eau, mise en valeur et conservation du patrimoine, ...) selon les orientations institutionnelles et projets d''aménagement du territoire, d''implantation d''exploitations et la réglementation environnementale."
"A1303","3","definition","2","Peut mettre en oeuvre des appels d''offres et procéder au contrôle des réalisations. Peut former ou sensibiliser différents publics."
"A1303","3","definition","3","Peut coordonner une équipe."
"A1303","4","acces_metier","1","Ce métier est accessible avec un Master (diplôme d''ingénieur, Master recherche, ...) en agriculture, agronomie, environnement, aménagement."
"A1303","4","acces_metier","2","Un Doctorat est requis pour les chercheurs en agronomie, génie rural, environnement, ..."
"A1303","4","acces_metier","3","Il est également accessible avec un BTS Agricole en production animale, technologies végétales, ... complété par une expérience professionnelle de 5 à 10 ans."
"A1303","4","acces_metier","4","Son accès dans les collectivités territoriales et organismes publics s''effectue sur concours."
"A1303","4","acces_metier","5","La pratique d''une langue étrangère, en particulier l''anglais, peut être requise."
"A1304","3","definition","1","Accompagne les agriculteurs dans la gestion de leur activité et l''optimisation de leur production."
"A1304","3","definition","2","Analyse l''activité et les résultats des agriculteurs accompagnés et leur propose des solutions techniques, économiques ou organisationnelles."
"A1304","3","definition","3","Conseille des produits, des outils ou des services adaptés."
"A1304","4","acces_metier","1","Cet emploi est accessible avec un BTS Agricole, un BUT ou une licence pro en agronomie, en droit et économie agricole ou en gestion des organisations agricoles et agroalimentaires."
"A1401","3","definition","1","Réalise des opérations simples manuelles d''entretien de cultures, de récolte de fruits et de vendange selon les règles d''hygiène, les normes environnementales et les impératifs de production (rendement, délai, ...)."
"A1401","3","definition","2","Peut réaliser des opérations de conditionnement des produits."
"A1401","4","acces_metier","1","Ce métier est accessible sans diplôme ni expérience professionnelle."
"A1401","4","acces_metier","2","Les recrutements peuvent être ouverts sur contrats de travail saisonniers."
"A1402","3","definition","1","Réalise des opérations manuelles d''entretien des cultures et de récolte de légumes (endives, champignons, ...) ou végétaux (céréales, tabac, fleurs, ...) selon les règles d''hygiène, les normes environnementales et les impératifs de production (rendement, délai, ...)."
"A1402","3","definition","2","Peut réaliser des opérations de conditionnement des produits."
"A1402","3","definition","3","Peut effectuer des préparations de commandes."
"A1402","4","acces_metier","1","Ce métier est accessible sans diplôme ni expérience professionnelle."
"A1402","4","acces_metier","2","Les recrutements peuvent être ouverts sur contrats de travail saisonniers."
"A1403","3","definition","1","Apporte une aide à l''éleveur dans les activités quotidiennes auprès des animaux (distribution de nourriture, aide à la traite, ramassage des œufs, …)"
"A1403","3","definition","2","Participe aux soins et veille au bien-être des animaux."
"A1403","3","definition","3","Peut conduire un troupeau."
"A1403","3","definition","4","Peut réaliser des opérations de tri et de conditionnement de produits issus de l''élevage."
"A1403","4","acces_metier","1","Cet emploi est accessible sans qualification et peut être une première expérience pour des diplômés  d''un CAP ou BP métiers de l''agriculture."
"A1404","3","definition","1","L''Aquaculteur / Aquacultrice, est un spécialiste de la production animale en milieu aquatique."
"A1404","3","definition","2","Élève et soigne des poissons, crustacés et coquillages selon les normes environnementales et sanitaires"
"A1404","3","definition","3","Surveille l''environnement et la qualité de l''eau pour garantir la santé des espèces et en assurer une gestion durable"
"A1404","3","definition","4","Récolte les produits aquatiques prêts à la consommation ou pour transformation et les commercialise"
"A1404","3","definition","5","Peut encadrer des équipes et gérer une entreprise"
"A1404","4","acces_metier","1","Cet emploi est accessible avec un diplôme de niveau Bac à Bac + 3 en aquaculture, conchyliculture ou métiers de la mer. Selon l''activité, des certifications complémentaires pour la plongée ou la navigation en mer peuvent être requises."
"A1405","3","definition","1","Réalise les opérations culturales arboricoles ou viticoles (préparation des sols, plantation, taille, ébourgeonnage, application de produits phytosanitaires, récolte, ...) selon les objectifs de production (quantité, qualité, variétés, ...) et selon les règles d''hygiène, de sécurité et les normes environnementales."
"A1405","3","definition","2","Peut réaliser les opérations de transformation, de conditionnement ou de commercialisation des produits."
"A1405","3","definition","3","Peut coordonner une équipe ou diriger une exploitation arboricole ou viticole."
"A1405","4","acces_metier","1","Ce métier est accessible avec un CAP/BEP Agricole en conduite de production agricole option vigne et vin, en production horticole option production fruitière."
"A1405","4","acces_metier","2","Il est également accessible avec une expérience professionnelle dans le secteur sans diplôme particulier."
"A1405","4","acces_metier","3","Un Bac professionnel ou BTS Agricole en viticulture-oenologie peut être demandé pour les fonctions d''encadrement en viticulture."
"A1405","4","acces_metier","4","Un Brevet Professionnel de Responsable d''Exploitation Agricole -BPREA- est requis pour l''obtention de financements spécifiques (prêts bonifiés) destinés à faciliter l''installation des jeunes agriculteurs."
"A1405","4","acces_metier","5","Un ou plusieurs Certificat(s) d''Aptitude à la Conduite En Sécurité -CACES- conditionné(s) par une aptitude médicale à renouveler périodiquement peu(vent)t être demandé(s)."
"A1406","3","definition","1","Dirige et contrôle la navigation en mer et les opérations de pêche selon les objectifs d''exploitation, les règles de sécurité et la règlementation maritime sur l''environnement et la gestion des prises."
"A1406","3","definition","2","Contrôle la manipulation, le traitement et la conservation des produits de la pêche jusqu''à leur commercialisation."
"A1406","3","definition","3","Peut diriger un armement et assurer la gestion d''un équipage."
"A1406","4","acces_metier","1","Cet emploi est accessible avec une qualification et une expérience confirmée de la pêche et de la navigation. Les certifications maritimes complémentaires permettent l''accès à des bateaux de tailles et de tonnages différents.  Ces qualifications peuvent être acquises tout au long de la carrière et permettre une évolution professionnelle ou une navigation sur différentes zones (pêche côtière, pêche au large ou grande pêche).  La pratique d''une langue étrangère, en particulier l''anglais, peut être requise."
"A1407","3","definition","1","Réalise les opérations d''élevage de bovins ou d''équins (soins d''entretien, reproduction, ...) selon les règles d''hygiène, de sécurité, les normes environnementales et les impératifs de production (rendement, ...)."
"A1407","3","definition","2","Peut cultiver les plantes destinées à l''alimentation des animaux (fourrages, céréales, ...)."
"A1407","3","definition","3","Peut coordonner une équipe et diriger un élevage."
"A1407","4","acces_metier","1","Ce métier est accessible avec un CAP/BEP Agricole en productions animales et agricoles, agriculture et élevage."
"A1407","4","acces_metier","2","Il est également accessible avec une expérience professionnelle en élevage sans diplôme particulier."
"A1407","4","acces_metier","3","Un Bac Professionnel ou un BTS Agricole en gestion et conduite d''exploitation agricole ou en productions animales peut être demandé pour les fonctions d''encadrement."
"A1407","4","acces_metier","4","Un Brevet Professionnel de Responsable d''Exploitation Agricole -BPREA- est requis pour l''obtention de financements spécifiques (prêts bonifiés) destinés à faciliter l''installation des jeunes agriculteurs."
"A1407","4","acces_metier","5","Des permis et habilitations spécifiques sont requis pour le transport des animaux."
"A1408","3","definition","1","Réalise les opérations d''élevage (nourrissage, soins d''entretien, reproduction, ...) sur sol, hors sol, en milieu aquatique, d''animaux rares, sauvages ou de compagnie, selon les règles d''hygiène, de sécurité, les normes environnementales et les impératifs de production."
"A1408","3","definition","2","Peut transformer et commercialiser les produits issus de l''élevage (miel, pain d''épices, fourrure, ...)."
"A1408","3","definition","3","Peut éduquer ou dresser des animaux de l''élevage (chiens, ...)."
"A1408","3","definition","4","Peut coordonner une équipe ou diriger un élevage."
"A1408","4","acces_metier","1","Ce métier est accessible avec un CAP/BEP Agricole en productions animales, élevage spécialisé (canin et félin, apiculture, ...)."
"A1408","4","acces_metier","2","Il est également accessible avec une expérience professionnelle dans le secteur sans diplôme particulier."
"A1408","4","acces_metier","3","Un certificat de capacité délivré par le Ministère de l''Agriculture ou le Ministère de l''Environnement est requis pour la détention et la vente d''animaux (domestiques, rares, sauvages, non domestiques, ...)."
"A1408","4","acces_metier","4","Les recrutements peuvent être ouverts sur contrats de travail saisonniers."
"A1409","3","definition","1","Réalise les opérations d''élevage hors-sol ou sur sol de lapins ou de volailles selon les règles d''hygiène, de sécurité, les normes environnementales et les impératifs de production."
"A1409","3","definition","2","Peut transformer et commercialiser des produits issus de l''élevage (viande, oeufs, ...)."
"A1409","3","definition","3","Peut coordonner une équipe ou diriger un élevage."
"A1409","4","acces_metier","1","Ce métier est accessible avec un CAP/BEP Agricole en productions animales et agricoles, agriculture et élevage, élevage spécialisé (aviculture, cuniculiculture, ...)."
"A1409","4","acces_metier","2","Il est également accessible avec une expérience professionnelle en élevage sans diplôme particulier."
"A1409","4","acces_metier","3","Un Bac Professionnel ou un BTS Agricole en gestion et conduite d''exploitation agricole ou en productions animales peut être demandé pour les fonctions d''encadrement."
"A1409","4","acces_metier","4","Un certificat de production, transformation et commercialisation des palmipèdes à foie gras peut être requis pour les postes de gaveur."
"A1409","4","acces_metier","5","Les recrutements peuvent être ouverts sur contrats de travail saisonniers."
"A1409","4","acces_metier","6","Un Brevet Professionnel de Responsable d''Exploitation Agricole -BPREA- est requis pour l''obtention de financements spécifiques (prêts bonifiés) destinés à faciliter l''installation des jeunes agriculteurs."
"A1410","3","definition","1","Réalise les opérations d''élevage d''ovins ou de caprins (soins d''entretien, reproduction, suivi sanitaire, ...) de plein air, hors sol, selon les règles d''hygiène, de sécurité, les normes environnementales et les impératifs de production."
"A1410","3","definition","2","Peut transformer et commercialiser des produits issus de l''élevage (fabrication de fromages, ...)."
"A1410","3","definition","3","Peut cultiver les plantes destinées à l''alimentation des animaux (fourrages, céréales, ...)."
"A1410","3","definition","4","Peut coordonner une équipe ou diriger un élevage."
"A1410","4","acces_metier","1","Ce métier est accessible avec un CAP/BEP Agricole en productions animales et agricoles, agriculture et élevage."
"A1410","4","acces_metier","2","Il est également accessible avec une expérience professionnelle en élevage sans diplôme particulier."
"A1410","4","acces_metier","3","Un Bac Professionnel ou un BTS Agricole en gestion et conduite d''exploitation agricole ou en productions animales peut être demandé pour les fonctions d''encadrement."
"A1410","4","acces_metier","4","Des formations spécifiques ou des spécialisations (titre homologué de berger, certificat de Conduite d''élevage caprin et commercialisation de produits, ...) peuvent être demandées pour les postes de berger, d''éleveurs caprins, ..."
"A1410","4","acces_metier","5","Un Brevet Professionnel de Responsable d''Exploitation Agricole -BPREA- est requis pour l''obtention de financements spécifiques (prêts bonifiés) destinés à faciliter l''installation des jeunes agriculteurs."
"A1410","4","acces_metier","6","Les recrutements peuvent être ouverts sur contrats de travail saisonniers."
"A1410","4","acces_metier","7","Des permis et habilitations spécifiques sont requis pour le transport des animaux."
"A1411","3","definition","1","Réalise les opérations d''élevage (nourrissage, reproduction, soins d''entretien, ...) de porcs en verraterie, en maternité, ou en engraissement, ... selon les règles d''hygiène, de sécurité, les normes environnementales et les impératifs de production."
"A1411","3","definition","2","Peut cultiver les plantes destinées à l''alimentation des animaux (fourrages, céréales, ...)."
"A1411","3","definition","3","Peut transformer des produits issus de l''élevage (charcuterie, ...)."
"A1411","3","definition","4","Peut coordonner une équipe ou diriger un élevage."
"A1411","4","acces_metier","1","Ce métier est accessible avec un CAP/BEP Agricole en productions animales et agricoles, agriculture et élevage."
"A1411","4","acces_metier","2","Il est également accessible avec une expérience professionnelle en élevage sans diplôme particulier."
"A1411","4","acces_metier","3","Un Bac Professionnel ou un BTS Agricole en gestion et conduite d''exploitation agricole ou en productions animales peut être demandé pour les fonctions d''encadrement."
"A1411","4","acces_metier","4","Un Brevet Professionnel de Responsable d''Exploitation Agricole -BPREA- est requis pour l''obtention de financements spécifiques (prêts bonifiés) destinés à faciliter l''installation des jeunes agriculteurs."
"A1412","3","definition","1","Le fromager, artisan du goût, valorise  le patrimoine fromager et les méthodes de production artisanales."
"A1412","3","definition","2","Réalise la fabrication et l''affinage de fromages dans le respect des règles d''hygiène et de sécurité alimentaire"
"A1412","3","definition","3","Conditionne les fromages et gère les stocks selon les conditions de conservation"
"A1412","3","definition","4","Conseille les clients sur le choix des fromages et les accords avec d''autres produits"
"A1412","3","definition","5","Participe à la création de nouveaux fromages et à l''amélioration des recettes existantes"
"A1412","3","definition","6","Peut vendre des produits laitiers complémentaires et organiser des dégustations"
"A1412","3","definition","7","Peut gérer son élevage laitier"
"A1412","4","acces_metier","1","Cet emploi est accessible avec un diplôme de niveau CAP à Bac dans le domaine agro-alimentaire."
"A1412","4","acces_metier","2","Des formations complémentaires en hygiène et sécurité alimentaires peuvent être requises."
"A1413","3","definition","1","Met en oeuvre ou supervise les étapes de fabrication, de conservation et de conditionnement de boissons alcoolisées (vin, bière, cidre, ...) selon les réglementations de fabrication, les réglementations AOC (Appellation d''Origine Contrôlée), les règles d''hygiène et de sécurité alimentaires et les critères qualité de l''entreprise."
"A1413","3","definition","2","Peut effectuer les opérations de vente des produits."
"A1413","3","definition","3","Peut coordonner une équipe ou gérer une structure (cidrerie, cave, ...)."
"A1413","4","acces_metier","1","Ce métier est accessible avec un diplôme de niveau CAP/ BEP à Bac+2 (BTS) dans les domaines de l''agriculture (production agricole, viticulture, ...)."
"A1413","4","acces_metier","2","Il est également accessible sans diplôme ni expérience professionnelle pour les fonctions d''ouvrier de chai, ouvrier de cidrerie, ..."
"A1413","4","acces_metier","3","Le Diplôme National d''Oenologie est exigé pour exercer en tant qu''oenologue."
"A1413","4","acces_metier","4","Un ou plusieurs Certificat(s) d''Aptitude à la Conduite En Sécurité -CACES- conditionné(s) par une aptitude médicale à renouveler périodiquement peu(vent) être exigé(s)."
"A1414","3","definition","1","Réalise les opérations de mise en culture (semis, repiquage, traitement, récolte, ...) d''espèces végétales (horticole, maraîchère, pépinière) selon les règles de sécurité et les objectifs d''exploitations (commerciaux, qualitatifs, ...)."
"A1414","3","definition","2","Peut réaliser les opérations de conditionnement des produits récoltés."
"A1414","3","definition","3","Peut coordonner une équipe ou diriger une exploitation."
"A1414","4","acces_metier","1","Ce métier est accessible avec un CAP/BEP Agricole en production horticole spécialité production florale et légumière."
"A1414","4","acces_metier","2","Il est également accessible avec une expérience professionnelle dans le secteur sans diplôme particulier."
"A1414","4","acces_metier","3","Un Bac professionnel ou BTS Agricole en production horticole peut être demandé pour les fonctions d''encadrement."
"A1414","4","acces_metier","4","Un Brevet Professionnel de Responsable d''Exploitation Agricole -BPREA- est requis pour l''obtention de financements spécifiques (prêts bonifiés) destinés à faciliter l''installation des jeunes agriculteurs."
"A1414","4","acces_metier","5","Un ou plusieurs Certificat(s) d''Aptitude à la Conduite En Sécurité -CACES- conditionné(s) par une aptitude médicale à renouveler périodiquement peu(ven)t être exigé(s)."
"A1415","3","definition","1","En contact permanent avec la nature, le marin-pêcheur est un professionnel polyvalent de la mer."
"A1415","3","definition","2","Entretient le bateau et les équipements de pêche tels que les filets, les lignes et les casiers"
